,logFC,logCPM,F,PValue,FDR
TPPP3,-1.91846490365372,3.99629726084896,460.902064214301,8.9253974643223e-75,2.04436228920302e-70
CRIP1,-1.46380334246511,5.78916504076193,438.733307579355,4.0578692959248e-72,4.64727481115787e-68
CRABP2,-1.89160588440238,3.3781107096176,428.838992755979,6.51356828890058e-71,4.97310938857559e-67
JUND,-1.27339788665754,7.93528007790615,408.080302784799,2.417143737838e-68,1.38411693287949e-64
PPP1R15A,-1.49906078520786,7.02628429879768,403.804597172556,8.30769640585031e-68,3.26886491900821e-64
VWA3A,-2.18840837462492,0.930083557989696,403.70007563249,8.56284196203853e-68,3.26886491900821e-64
CARD6,0.833099192193626,4.35593943491119,398.740267924143,3.61146794427991e-67,1.18172390376759e-63
CSTF1,0.559768806034376,4.47298747123856,389.478162565223,5.41735367132964e-66,1.55105607302257e-62
YTHDF2,0.47207441468948,5.85316892428668,372.974436568412,7.22090145483709e-64,1.83771942025604e-60
CPT2,0.730360152511737,3.3559436058931,361.816685552015,2.07422973045747e-62,4.75102319761284e-59
DUSP5,-1.65459471739472,5.44065694714046,361.356297995062,2.38458011695455e-62,4.96534614353127e-59
TPPP,-1.25383980554125,4.73537885595882,353.473459748447,2.62448537757862e-61,5.00948646445319e-58
CLP1,0.899987965827656,2.82446803716282,346.178735956295,2.46113203310798e-60,4.33632532448755e-57
FHL1,-0.995974515774902,8.78714886632654,344.360625579041,4.3117523097977e-60,7.05433476113688e-57
PBXIP1,-0.600629931155298,7.91419656025189,339.194968598062,2.13437817207034e-59,3.2591954687514e-56
ATF3,-2.19093801833997,6.66646249100349,326.798905882202,1.03002071307009e-57,1.47453902705441e-54
JUN,-1.67963889874317,8.8468705114922,320.904700515522,6.63418754620345e-57,8.93859210269353e-54
HPS6,0.738009161153247,3.58290758853629,314.16808603515,5.66395395785533e-56,7.20738141137091e-53
CNOT11,0.436248905829466,5.03966870198851,312.567570529826,9.45070381504276e-56,1.1393072151766e-52
