,logFC,logCPM,F,PValue,FDR
CXorf40B,-2.59006520278135,5.08181699300235,386.33790042392,2.6200117699993e-52,5.2518135929636e-48
RP11-84A12.1,-5.68037702285215,-3.29892791143586,363.471013103754,2.44613373159025e-50,2.45163753248633e-46
GUK1,-1.8971001182041,7.54683368271371,327.003251510487,4.89455658174309e-47,3.27037955603467e-43
TVP23C,-1.39379777816862,2.99497093119014,315.814089448831,5.56034169655797e-46,2.78642623268761e-42
ZNF141,-2.89129294610155,4.36107790860762,314.788126603117,6.96513013207186e-46,2.79232066994761e-42
RP3-453C12.14,-3.74354341000953,-0.303298285940931,289.182320948673,2.21150613165822e-43,7.38827340151483e-40
ZNF487,-1.65762071287106,2.11985632193052,281.042745305621,1.46304544821442e-42,4.1895351442083e-39
JUND,-1.89184100546202,7.85652067853261,274.843633051833,6.29238913867009e-42,1.57663675355802e-38
USP36,-1.72731105904515,6.49908312673972,263.051140450618,1.05994682467787e-40,2.36073712229644e-37
CXorf40A,-2.45419425843806,4.73228204053981,262.316998201892,1.26643315170424e-40,2.53856525259115e-37
PARP1,0.887971073271043,6.31572902372746,256.377828624793,5.39623464050697e-40,9.8334112153602e-37
CTC-428H11.2,-2.30696805973889,-1.06647406295665,253.231222685496,1.17126805125842e-39,1.95650567395625e-36
DNAJC14,1.00482229257962,4.51945301848772,252.14452277608,1.53245783129325e-39,2.36293209448255e-36
AC079779.4,-2.40939093670355,-0.760034236480071,248.984387595017,3.35979238508438e-39,4.81050273992975e-36
SNHG15,-1.85751167549628,4.58769742193381,248.05777494567,4.23344866932785e-39,5.65729857177846e-36
RP11-388C12.8,-3.16110144716243,1.97582594337928,247.150559262979,5.31078874814496e-39,6.65342252853536e-36
LINC01578,-0.851179417574933,5.39812162221927,245.32902538857,8.38324978213622e-39,9.88483775781886e-36
CASP9,-2.54134886062289,6.12113118121148,242.294396715567,1.80032218738351e-38,2.00485879145013e-35
DXO,-1.64033147692827,5.62608822597715,239.364805603513,3.78250581842755e-38,3.99054363844107e-35
RP1-266L20.2,-2.40549787777723,0.607734550528217,238.549966800695,4.65381965706556e-38,4.56170139450029e-35
WDR45B,-1.24158861315711,6.85148241264855,238.445706541938,4.7790336385386e-38,4.56170139450029e-35
RP13-638C3.2,-4.12523995725313,0.0214103471445609,235.614680946873,9.8490680602755e-38,8.97384405764648e-35
HOTAIRM1,-2.3670843222562,2.51945074052971,233.323220908349,1.7740347633897e-37,1.54610986226724e-34
SNORA41,-2.39366276227225,-1.85453335175972,229.203739966629,5.14667152023506e-37,4.29854294262966e-34
RPL29P14,-3.69159855783272,-2.00455110820566,228.995566953738,5.43261518235951e-37,4.35587085321586e-34
RP11-549J18.1,-1.48042691522936,-0.445101103212203,227.968248330214,7.09652509937722e-37,5.45044348287829e-34
ATP1B3,-2.59407323037707,7.94589580549559,227.837876537552,7.34158014655594e-37,5.45044348287829e-34
AL133243.2,-1.78572280937332,0.88324658012341,225.738032829771,1.27007059645752e-36,9.0923446807111e-34
ZNF571,-1.9850822698106,3.09420539058432,223.546691728966,2.2562244398034e-36,1.55951789296066e-33
ARL5B,-2.44974552304206,5.31198162970253,223.311136940703,2.40036764991689e-36,1.60384565141947e-33
SMG8,1.06535083399095,4.08939370434716,222.530017606064,2.94824160445711e-36,1.90637106326912e-33
RANBP2,-1.92895274477948,7.55341000206848,220.710934263627,4.76514831906723e-36,2.98491868924071e-33
EPOR,-1.26730004445567,5.69963531036785,218.639835058496,8.25048122609515e-36,5.01154230839628e-33
PEX12,1.14750765349555,3.50335974785817,217.464460424412,1.12785684714431e-35,6.6493795591199e-33
EMD,-1.09567231487514,5.68011372916259,216.05936434646,1.64067519354496e-35,9.39638121560249e-33
TMEM120B,-1.23612982728605,4.95128377084096,215.654909868553,1.8279655872382e-35,1.0178213943386e-32
SRA1,-1.15149136935912,6.30081174551084,214.814522797461,2.28899893271792e-35,1.24008063800894e-32
CCNL1,-1.38056727932092,6.86370718473502,213.238849272072,3.4935844521612e-35,1.84286579851503e-32
RNF139-AS1,-1.57754189583717,2.29990874689884,209.235161980789,1.02975319843345e-34,5.29266740066626e-32
FBXW4P1,-2.0216117086424,0.0115380899168498,208.688990857684,1.19426070894535e-34,5.98473897770239e-32
CRY2,-1.24728385261536,6.00467904579765,207.431634500526,1.68103072572655e-34,8.21860021882653e-32
RP11-373D23.2,-4.4931357661663,2.57665545115321,207.077892483519,1.8510697348421e-34,8.83445067497855e-32
BPNT1,1.06381427641661,4.85228361203727,206.780318615106,2.00747850189162e-34,9.2036921035736e-32
CTC-425O23.5,1.51543053603619,2.0532103956084,206.757031721271,2.0202666627949e-34,9.2036921035736e-32
THTPA,1.02524304502555,3.00208473057309,206.233414399457,2.33054222586351e-34,1.03812708705409e-31
VPS37B,-1.56972843812819,5.43558989795076,205.837477640786,2.59671009151753e-34,1.13154464748845e-31
HADHAP1,-4.90640118125911,0.338998028928857,205.635353873481,2.74419949473318e-34,1.17037189089205e-31
HIP1R,-1.53855163199813,6.45708133870893,204.459495454661,3.7862260199222e-34,1.58114376186126e-31
CPLX3,-2.81402346587919,4.03628846971106,203.933923940395,4.37328756739706e-34,1.78903161813212e-31
V55542,-1.63748891487876,1.44568182000819,203.519228155067,4.90066730239025e-34,1.96467752152825e-31
CDCA4P4,-3.19590921093382,-2.38716398022292,203.131627449718,5.45146721304582e-34,2.14264039775497e-31
CTA-276F8.1,-1.7965708175049,0.143227147438609,202.480542059928,6.520908899438e-34,2.51368497863913e-31
GSPT2,1.01432326528084,3.71862742449877,201.754844590512,7.96439215747598e-34,3.01219322257747e-31
RP11-635L1.2,-3.13356614023693,-1.18090731412067,201.518492028612,8.50095638837429e-34,3.1555864963882e-31
SEPT7P2,-0.899512230167733,4.15400747818865,201.020174924736,9.75474757808379e-34,3.55516209459436e-31
HES4,-2.15652512423882,1.37684274189938,200.54999716773,1.11084176844474e-33,3.97621843722765e-31
ECT2,1.28961627368189,2.97465763452055,200.258542405723,1.20411000763071e-33,4.23445352683466e-31
HYMAI,-2.66861185539541,0.365184884749586,199.475417672648,1.4957593686907e-33,5.16939595610433e-31
RP11-1148L6.8,-1.67381970853492,0.835667864024925,199.378157936163,1.53663950433121e-33,5.2206676041219e-31
SLC19A2,-1.86851282158122,5.27311144335908,198.821180663279,1.793424229992e-33,5.99153144836493e-31
HNRNPA3,-0.649670777376016,7.81931554963264,198.48886602168,1.96682015442449e-33,6.34695320047469e-31
PGAP1,-3.2740787138848,5.61236428521042,198.349196518129,2.04465351897553e-33,6.34695320047469e-31
RP11-25O10.2,-4.50232510490253,-3.00512114206809,198.334250579592,2.05316424183575e-33,6.34695320047469e-31
PRPF38A,-0.620840501880379,4.97537269039859,198.311513568327,2.0661800128313e-33,6.34695320047469e-31
MED18,1.04040889942619,3.36720261062307,198.302636982012,2.07128395213995e-33,6.34695320047469e-31
GBA,1.23297974978422,5.414432097731,198.270631504441,2.08979252297994e-33,6.34695320047469e-31
