,logFC,logCPM,F,PValue,FDR
TPPP3,-1.91147314836025,4.8380669475761,240.395198534724,1.90072880875564e-42,4.35019802459904e-38
C1RL,0.730335658835223,6.51114148367321,235.843107585099,7.79051298229922e-42,8.91507353129412e-38
ATF3,-2.06269870335395,7.05552131801258,232.259638673097,2.38263443264098e-41,1.8177118086618e-37
NREP,-1.39043952055875,3.73155492348688,218.446533134633,1.88611219364432e-39,1.07918624439844e-35
UNC119B,0.720132839546664,5.22966600025883,213.637866301358,8.84785825363383e-39,4.05001863701835e-35
NMT1,0.564275041390559,6.79856731470941,211.032809527009,2.05485686805068e-38,7.83825152317932e-35
JUND,-1.19163762369371,8.35472847336929,207.258711096385,7.01188043506224e-38,2.29258439310385e-34
SCN4B,-1.7037088634358,5.64894063584978,203.604565299742,2.31868175697779e-37,6.63345867149382e-34
SUN2,0.911291821951548,7.86384967187526,201.593493969713,4.49259297029534e-37,1.14246639234611e-33
JUN,-1.62022588810423,9.67845244079773,198.674431596216,1.17823738060111e-36,2.69663189298177e-33
ATG9A,0.559132470361434,6.23965278392996,196.037915372683,2.82664086708397e-36,5.72301997141641e-33
CYB561D1,0.959691841149267,3.63423934675008,195.858349795443,3.00066586520719e-36,5.72301997141641e-33
PLPPR4,-1.40221552209324,2.86384557808621,194.070410020858,5.4452574528116e-36,9.58658517865378e-33
WDR81,0.668823941602187,5.99422606618686,191.465667497534,1.30168958021691e-35,2.12798353017318e-32
AOX1,1.81875424507463,7.81501935735244,187.533170374249,4.88919662767801e-35,7.45993621451111e-32
SAMHD1,1.49195718057827,8.02030482847693,186.47419678143,6.99345555364801e-35,1.00037010785214e-31
METTL7A,1.01680620034627,7.77545002427347,184.957284787487,1.16918090547191e-34,1.5740613755021e-31
C2CD4B,-2.96335651141076,4.66200404905479,181.028094140969,4.45476250758285e-34,5.58225817113388e-31
AF131217.1,1.57520732233085,0.719488360812945,180.912520062313,4.63419868272573e-34,5.58225817113388e-31
MAVS,0.645973590363417,7.06177736831653,179.172411897733,8.4066366394208e-34,9.62013463832119e-31
LINC01088,2.1095292538661,2.12543465586755,174.977742058854,3.56016228083677e-33,3.88006829150053e-30
LAMA2,1.3615416781584,7.71570010596238,171.955215457407,1.01421010008639e-32,1.05510120730351e-29
TM4SF1,-0.993744488510974,8.08438772069561,166.512769725102,6.77924927326929e-32,6.74594252683975e-29
JADE1,0.828408907353029,6.27097354065041,166.381004328734,7.1000207519684e-32,6.77075728959587e-29
RND1,-2.33510395909923,3.04947799799941,164.501096319344,1.37483064526117e-31,1.2586299591237e-28
KLF15,1.7796120523011,5.79931399212817,162.995350906157,2.33799108215868e-31,2.05806161143714e-28
CYP4B1,2.64955698372055,6.93045583623912,161.421882094612,4.07850143075198e-31,3.45720971280076e-28
FNDC5,-1.64067753270508,1.79285134486699,160.985242180971,4.76087831502525e-31,3.89150792842796e-28
ZFP36,-1.48612820803681,9.85851589538172,160.357823326501,5.94737364811211e-31,4.69370829946006e-28
NCKAP5,-1.0613977793382,2.93769496075428,159.596757535006,7.79293413244014e-31,5.82592992282669e-28
HPS6,0.596936890093018,3.74168908313673,159.561529811543,7.89110969579357e-31,5.82592992282669e-28
CTDSP2,0.344719040834551,8.24480536900627,157.680547200732,1.54160822742719e-30,1.10258710941019e-27
APLNR,-2.31667441441238,5.13079784599796,157.327209871146,1.74872596929457e-30,1.20512284478439e-27
BHLHE40-AS1,-1.41072929027022,2.3291406804929,157.261408473238,1.79028167617727e-30,1.20512284478439e-27
TMEM74B,-1.11582413153029,2.72200287882492,157.011112973305,1.95762826206423e-30,1.28012108668183e-27
KIAA0100,0.576137512916465,6.76252544633121,155.555366891778,3.29466240396258e-30,2.09458162331921e-27
ANTXR2,1.14543880565806,7.11828130323059,155.124868205896,3.84403856506483e-30,2.37779758482808e-27
ENAH,-0.58779703206439,6.7161290907379,154.482318875985,4.84012990272436e-30,2.91515929167507e-27
HERC2,0.40343739593388,6.49402572695585,154.150466288165,5.45238898028959e-30,3.1997135023561e-27
AL133243.2,-1.0123826042752,1.80804314173953,153.571011612094,6.71415765193411e-30,3.8416731544954e-27
LCN10,2.04899876382154,4.58216464891596,149.917337134598,2.50801960112961e-29,1.40002547831838e-26
RP11-693N9.2,-1.15183705797758,3.47013024665558,149.732399174203,2.68168289678176e-29,1.46132562996772e-26
CLPX,0.353564789960409,5.38085521604752,149.143147183215,3.31986295850737e-29,1.76701636119438e-26
UBE4B,0.408334272956558,5.79712710404444,148.701969687233,3.8958618819655e-29,2.02646797483055e-26
MLF1,-0.834434233324344,3.20326652198578,148.371185838499,4.39277641704136e-29,2.23416608570724e-26
RPS6KA2,1.0874627019553,7.11550865237424,147.251024190001,6.5998902232227e-29,3.28373233780213e-26
RASL10B,2.81950069371401,5.02462879041825,146.648610522059,8.21816502609238e-29,4.00189665855694e-26
MON1B,0.397313634302051,5.42439630939381,145.612438069466,1.19907686473315e-28,5.71734837565574e-26
MOCS3,0.512591695739675,2.57221738750271,145.325004840166,1.33173779539131e-28,6.22030263737162e-26
SERPINI1,-1.08998566068395,3.28078403704971,144.664600803505,1.6951961217537e-28,7.75959072771537e-26
IRS2,1.07427432609816,7.09731145959052,143.15728152114,2.94390373744173e-28,1.31788426559579e-25
FKBP5,2.00821853048904,8.96960671731477,143.095726500533,3.01111541319604e-28,1.31788426559579e-25
C14orf80,-0.859964116415637,3.07674944792585,143.059082084448,3.05185765179259e-28,1.31788426559579e-25
TMEM192,0.493018006666556,4.82463234066616,142.958704041401,3.16632160450468e-28,1.34199264004257e-25
LRP10,0.383957529861362,8.05682835513662,142.254871344781,4.09984132902335e-28,1.70605579086105e-25
