,logFC,logCPM,F,PValue,FDR
HPS6,1.56824526640104,3.64294295195862,293.22901155082,1.14706249574342e-41,2.39208412862333e-37
CTR9,0.744243460842851,5.1407776128637,241.186917967637,1.10748503032998e-36,9.03297463009085e-33
RIOX1,1.12932774396767,2.66905459160811,240.501799222627,1.29945928312422e-36,9.03297463009085e-33
SMG8,1.36406758229086,3.43049726581984,227.368456997599,2.92154515984145e-35,1.52314756908334e-31
CSTF1,0.747802740640094,4.01248971367754,213.935171146142,7.7882660352168e-34,3.24832999796822e-30
GCC1,0.849827460606492,3.97648422080195,209.106392614087,2.60112529373518e-33,9.04064447925889e-30
MOCS3,1.18699238679726,2.38821175139596,208.221586026379,3.24927874645579e-33,9.68006556836985e-30
CLP1,1.46542647932891,2.84531561123477,200.665434539292,2.21556285458979e-32,5.77541847120194e-29
CNOT11,0.571089487131882,4.88450328109833,184.109312843142,1.68969608366684e-30,3.91521356986537e-27
GSPT2,1.09212986156415,3.30726404298278,182.47218213006,2.619837724815e-30,5.4634095913292e-27
LCMT2,1.07360449452739,3.10929877182628,176.322332666437,1.38363811775567e-29,2.62312630069788e-26
DBR1,0.814936473081533,3.65690107624883,166.434182158154,2.12784099001772e-28,3.69783300048579e-25
ATXN7,-0.762059316164147,5.36382967837122,165.151360211047,3.04955398259442e-28,4.57606080850147e-25
C9orf64,0.865608333504412,3.28102247233054,164.927702729654,3.24744631859406e-28,4.57606080850147e-25
MED18,1.12524085475678,2.87100709256654,164.879789783477,3.29149861549449e-28,4.57606080850147e-25
ZBTB39,1.2397761958641,3.1451729563631,162.20896464146,6.99509503701484e-28,9.11723199386921e-25
RP1-111C20.4,-1.35387485551303,0.375441023510206,160.934496049451,1.00430342787153e-27,1.23198492263723e-24
CPT2,1.00802422092869,2.81101222586471,160.378598641796,1.17638129264923e-27,1.36290308205039e-24
LINC01473,-1.56950357125213,-0.494399378823129,159.710140551056,1.42323762377344e-27,1.56211565295638e-24
RP11-642A1.2,-2.60121497827705,-0.732509251960957,158.702893376809,1.89768134869985e-27,1.9120080210948e-24
VPS18,0.868381204134568,4.76791353352748,158.652209463052,1.92539409432199e-27,1.9120080210948e-24
CHAMP1,0.938594763969115,4.28187675033271,155.023670037957,5.46495643524224e-27,5.00484751920345e-24
KB-1208A12.3,-1.32035268840197,1.49815212614176,154.989067035871,5.5198759442639e-27,5.00484751920345e-24
PPP1R3D,0.748173126237747,3.1037575589267,154.587337701376,6.19978001667903e-27,5.38709218615936e-24
GTF3C4,0.750829066499194,4.50467079402915,153.345446094865,8.88555367143116e-27,7.41197345056102e-24
RP11-888D10.4,-1.60635883990318,0.317189674603301,153.010072207291,9.79464862939334e-27,7.85606163528341e-24
USP3-AS1,-1.24704396077948,1.08130163918343,149.962848873359,2.3834198156685e-26,1.84088284577596e-23
RP11-37B2.1,-0.891120141884903,2.85445616258912,148.044640701145,4.18821265617256e-26,3.07264623436696e-23
WDPCP,-0.777805636231383,2.87394806015788,147.976727580032,4.2728848564612e-26,3.07264623436696e-23
ZNF689,0.820557630537678,3.26680340816341,147.62372397635,4.74166162608887e-26,3.26324027863497e-23
ALMS1-IT1,-1.49052045468679,0.0669209531706491,147.546541790093,4.85088945227219e-26,3.26324027863497e-23
PARS2,1.0213472667812,1.45463147799997,146.891381472466,5.88663574770122e-26,3.83624693383004e-23
RPS6KA2,1.33357259659962,6.67235114616131,146.688308155365,6.25100535603139e-26,3.95025653620238e-23
MAD2L1BP,0.792622856189025,3.26760891933138,145.645970488123,8.51267475969248e-26,5.22127410113609e-23
FAM175B,0.541208821467642,4.07951243138969,145.089702754622,1.00416292993762e-25,5.98308964026259e-23
LINC-PINT,-1.46149263599727,4.96873258966593,144.319421029991,1.26279114996694e-25,7.31506851150296e-23
DDX28,1.24242565573823,2.57858260158486,143.964823556158,1.40353367511319e-25,7.9106192596785e-23
TVP23C,-0.797080502275774,2.40903608865443,143.245821315913,1.73947681314262e-25,9.54606564770424e-23
VPS33A,0.556839186235717,4.32765963592924,142.392711337942,2.2451652885119e-25,1.18000176483039e-22
THAP9-AS1,-0.949125970962314,5.13936313072913,142.365766231767,2.26335813720224e-25,1.18000176483039e-22
DOLK,0.936204763657993,3.54837771718409,141.990693317574,2.53262167187255e-25,1.28817786207879e-22
MON1B,0.663966009388219,5.3324347659854,141.590902246046,2.85537347471739e-25,1.41758087729984e-22
PPP1R14BP3,-1.55603572875182,-0.164185650307851,141.512951268245,2.92298732731818e-25,1.41758087729984e-22
CD163,3.20063582836717,7.96729165052552,139.423939006246,5.48368011310197e-25,2.59901511542338e-22
AL133243.2,-1.41103055674855,1.33728124066482,137.440224382481,1.00020862463842e-24,4.63518903515767e-22
FADD,1.24749244709904,1.68230919402401,136.889585505034,1.18253390287193e-24,5.36099174141115e-22
RP5-1014D13.2,-1.52708101085329,1.68059954013491,136.182367167497,1.46686132029301e-24,6.50849488795542e-22
ATAD2B,-0.643323940951436,4.39458097760142,134.852870362464,2.20206638911098e-24,9.54082895014845e-22
RP13-516M14.10,-1.40063425672218,1.56336840465726,134.794499903024,2.24177912418372e-24,9.54082895014845e-22
PLAGL2,0.874246980374691,3.59348075658581,133.80239729479,3.03901901692541e-24,1.26751405157925e-21
