,logFC,logCPM,F,PValue,FDR
CRABP2,-1.84097003559928,1.9021496275051,421.115298503281,4.38645717111044e-70,8.97688460067751e-66
C1QTNF3,-1.44257914757105,2.95123578106866,353.41684726233,2.1480169059472e-61,2.19795829901047e-57
TXNRD1,0.866382567235149,7.02263876896067,337.78452041972,2.69874901096031e-59,1.84099661697676e-55
NREP,-1.44464012587132,4.37652704465672,309.166291738176,2.35378704717043e-55,1.20425629800857e-51
SSPN,-0.851138223887377,5.98947327956962,288.032864448289,2.3286922086647e-52,9.53133721006461e-49
JUN,-1.38145820752705,8.63589121975372,284.692086878181,7.0394670420611e-52,2.40104488359634e-48
CD9,-0.608505732147068,8.19642208755075,276.39750103039,1.11879751546957e-50,3.27088445058354e-47
STARD4-AS1,-1.52705929462232,2.43535747444095,270.453832713288,8.25983238262574e-50,2.11296837138045e-46
TPPP3,-2.11570194467219,4.14517783632431,269.477371028961,1.14871214158784e-49,2.61204377528836e-46
ATG9A,0.423332325487943,5.96004330436086,267.730941877455,2.07409090313589e-49,4.24462703326761e-46
SFRP2,-2.12145593365154,8.76855688761385,267.147711159085,2.52725492774039e-49,4.70184291783701e-46
PDP2,0.749963459101294,3.12132577635231,256.541750338189,9.42149034833302e-48,1.60675666648863e-44
SERPINF2,1.68981420630334,3.7254036345976,252.903986522794,3.29539717783895e-47,5.18771563419031e-44
GALNT16,-1.04615060544625,4.62924992313525,239.539891407278,3.44441840197658e-45,5.03500161403219e-42
NAALADL2,-0.581568991368465,3.1650510079494,232.768237903085,3.74474235719974e-44,5.10907682267284e-41
CLEC3B,-1.31799494449943,4.38088183957419,231.888924832106,5.11269520521166e-44,6.53945671091604e-41
MXRA5,-2.14010587638413,4.20665743479278,229.879482755436,1.04292721903165e-43,1.25550032573428e-40
WDR81,0.613246459185389,5.27818742412363,229.494045888663,1.19600187845883e-43,1.35978769125888e-40
ITIH5,-0.870454076999584,7.7402424202704,227.414866309721,2.50661520118168e-43,2.69988842590437e-40
PARP2,-0.494288502936859,4.33534939047516,226.474503380984,3.50520617851643e-43,3.58670222216694e-40
RASL10B,1.80249824805533,2.2624138679935,221.779936349082,1.88099913614026e-42,1.75722285751591e-39
CRISPLD1,-1.45254950478404,5.39703484624844,221.768075543513,1.88902530492793e-42,1.75722285751591e-39
C14orf80,-1.23012648039439,3.5027103648486,219.650755213502,4.04391558479407e-42,3.59820575838308e-39
DYNC2LI1,-0.481258900025071,3.85683259304065,217.926066410141,7.52914047683555e-42,6.42016082743498e-39
LSP1,-1.32553631185444,4.58002211943999,216.901621198087,1.08987861040811e-41,8.87582194358056e-39
TTC38,0.556938073190697,4.65181228527724,216.807353292574,1.12763924032785e-41,8.87582194358056e-39
KLHL21,0.684333253059577,7.4614653742647,214.511892190972,2.58779371489565e-41,1.96145179167924e-38
RCOR2,-1.52482885422769,1.53912249535673,213.826361992881,3.31803441746055e-41,2.42512765547607e-38
TGFB2,-1.2392002095348,3.76793446372994,210.387573979976,1.15843030165123e-40,8.17492280113533e-38
SEMA5B,-1.8710867886638,1.99837029304958,209.862506325187,1.40280320249564e-40,9.56945584635774e-38
AF131217.1,1.64699187032965,0.979844466898619,209.235131245085,1.76358575171151e-40,1.16425104544439e-37
RPS6KA2,0.794761725937101,5.76299235448895,208.404067462538,2.38888965955401e-40,1.52776959008665e-37
GGT5,1.1645795401146,6.71105870796223,205.043044104016,8.17930798985292e-40,5.07241024279818e-37
SAMHD1,1.3841387170475,7.85814397240236,204.935163950867,8.5096765663798e-40,5.12207443914596e-37
FCN3,2.55793725285057,0.78063390415258,202.69080351568,1.94194241452725e-39,1.13548147180858e-36
FAM180B,-1.97657449550344,1.59672518802286,201.589012499464,2.91432447592722e-39,1.62996335342661e-36
EPB41L2,-0.589725318543706,7.06632655247645,201.558851060129,2.94691639759513e-39,1.62996335342661e-36
GPX3,1.24754774209406,10.8108143428549,201.161489123994,3.41206885010327e-39,1.83757865835167e-36
AFF2,2.18270607621961,3.25213360956211,199.98135422137,5.275384757813e-39,2.76822433509341e-36
SERPINI1,-0.881140393161682,3.54698684874309,198.984274225713,7.62732124244759e-39,3.90232823066725e-36
RP11-184M15.1,3.29086827690692,0.0945490019320374,197.232699718215,1.45939942503853e-38,7.28453883741794e-36
OLFML1,-1.08537011366439,4.51337704953157,194.654859125715,3.80300752647528e-38,1.8530606911742e-35
IER2,-0.92526856612856,5.7518340322909,193.124866368285,6.72498996707598e-38,3.20062603898163e-35
NMT1,0.324019977812481,6.60782942335023,190.514883209716,1.78319661889197e-37,8.29389063764186e-35
NLGN3,-0.897135000367162,1.71153533431048,189.178148292593,2.94231483354719e-37,1.33809940152318e-34
SERPINA3,1.91766099944605,6.97367188890846,188.794865699148,3.39721914276155e-37,1.51139325557859e-34
EGR1,-1.570949811885,8.56156455340603,188.628975424783,3.61539917673619e-37,1.57423710961502e-34
NADK,0.540636065526246,6.48055058783942,186.181879899603,9.07066323091204e-37,3.86731506292948e-34
PNMT,1.34584033006534,1.92719924839211,185.246072696203,1.29051485468341e-36,5.38987479614206e-34
PCK2,0.700791152163709,4.36076514829587,184.527162986657,1.69250780978194e-36,6.92743446543747e-34
COL5A1,-0.704641942124063,7.851911058526,183.968871014502,2.0896206733526e-36,8.38511511375703e-34
CTD-2525P14.5,-1.24856768955466,1.25853283494749,181.844561097705,4.66672797881064e-36,1.83662669396846e-33
B3GALNT1,-0.720412801366861,3.07630369268174,181.178706444256,6.00618846038105e-36,2.3191820158811e-33
STXBP4,0.641883123171864,4.10938699636841,179.55984375726,1.11033544817491e-35,4.20796573090733e-33
RP1-151F17.1,-0.861653595945439,0.716489765230841,179.501795645282,1.13509986411416e-35,4.22360340347205e-33
ECM2,-0.766049303099136,6.80896194972412,179.349801333518,1.20260178450065e-35,4.39486527139389e-33
AZIN2,-0.879128116277814,1.82072004656663,179.150462161997,1.29727565735832e-35,4.65767479435755e-33
FZD5,0.695578487710442,2.65906199199937,178.576058069296,1.61404662601013e-35,5.69508003470642e-33
JADE1,0.837811097284091,6.30254724872103,178.37760196458,1.74066815095101e-35,6.03775825579871e-33
SUN2,0.708567383965417,8.97593236562732,178.218985633632,1.8490041016468e-35,6.30664482336697e-33
MAVS,0.467587864472797,6.74683375505909,177.190700446504,2.73571593727462e-35,9.17810273054509e-33
ATF3,-1.42166287119594,6.35218657164169,176.636688031972,3.37936695627797e-35,1.11546362516498e-32
DNAH6,-1.23463602410143,-0.720066618108279,175.852549719131,4.55867086613457e-35,1.48084443294355e-32
PLAGL1,-0.569169566865684,6.33483158203374,174.213934816229,8.53033691965392e-35,2.72770851657371e-32
