,logFC,logCPM,F,PValue,FDR
ZBTB10,-1.04396485971236,5.20984269707451,560.902399138064,1.05282324534097e-82,2.38643445021438e-78
RIOX1,1.32221052318008,2.40173600900454,556.963531892193,2.61909842984232e-82,2.96835520546179e-78
CDR2,-1.090131729935,5.48862319558144,549.792172563333,1.38884521341576e-81,1.0493651484165e-77
CLEC1A,-1.80723343076987,5.40043870901361,542.662084067095,7.37943970853417e-81,4.1817439968336e-77
GAN,-1.21577242139669,4.34913286370604,521.56463202193,1.10777869770938e-78,5.02200394819572e-75
ARID5A,-2.01772462610317,7.47321121276593,518.803752389167,2.15113131246244e-78,7.0934828155712e-75
PKIG,-1.32200168660208,7.08909781369952,518.728216378617,2.1906021841884e-78,7.0934828155712e-75
TRIP10,-1.08144584834151,7.59544073489797,504.472397006748,6.94569339681745e-77,1.96797540282076e-73
DNAJC19P5,-1.89717681156256,0.171333068249966,500.811806488921,1.7009875954465e-76,4.28403175844287e-73
CSTF1,0.73273529514769,4.13786455388796,500.03465210897,2.05812384549611e-76,4.66514932058603e-73
HYPK,-1.44186975370103,3.28683613079715,491.759844658669,1.58082600570031e-75,3.25750755192808e-72
RPP25L,1.21848647044182,2.93622826365917,490.291521138831,2.27398018913306e-75,4.29535907892326e-72
FITM2,1.06221883095415,3.82063935440749,489.400018755574,2.83645176159812e-75,4.94568092924189e-72
BCAT2,1.16534473830048,5.29053655694327,487.859977023117,4.15720897918765e-75,6.30721953854921e-72
UBA6,-1.01621826708614,5.9499947915892,487.843912049339,4.17383390295311e-75,6.30721953854921e-72
NOL4L,-1.08818850495506,5.94728715302472,487.301207626481,4.77646285360442e-75,6.76675521891571e-72
DGKH,-1.17958804822298,6.69533264303352,485.884440838934,6.79463715793743e-75,9.05964943876281e-72
PRB1,-8.6300107407368,1.33590327007422,480.406649817586,2.66738644716674e-74,3.35898047766269e-71
SFXN2,1.30120079163931,3.49382842061177,477.183500399951,5.98607231995468e-74,7.14138427770593e-71
FNBP1,-0.774503379737243,6.6341857813487,473.529900430167,1.50148120161045e-73,1.7017037198452e-70
EMSY,-0.959615629824972,5.21332578319678,468.117833576,5.90134225267518e-73,6.36979642101849e-70
MED18,1.35611599597702,2.72239973502096,465.361923108286,1.18838013823702e-72,1.2244096633372e-69
CLN3,0.809757944849807,5.79162326139134,464.509924264815,1.47611288520863e-72,1.45474133778365e-69
MLX,0.77527113469905,5.55006033217272,463.791961562197,1.77229556387775e-72,1.67385931443404e-69
