,logFC,logCPM,F,PValue,FDR
C1QTNF3,-2.17361431365984,3.55792178441728,382.859994922795,1.36133560411489e-62,2.93122782278017e-58
MON1B,0.577712736212229,5.35566737449758,344.818161623486,5.96404430680691e-58,6.42089010070831e-54
CANT1,0.529558920904102,5.19335967389563,339.532602880262,2.74018950478204e-57,1.96672534723223e-53
RP11-249C24.10,4.54239112481099,-1.67616891209213,335.576615245883,8.63600760544501e-57,4.64876289401105e-53
DNAJC14,0.616991586971756,4.46296335801944,324.905526451431,1.96596500852716e-55,8.46623171272136e-52
FNDC5,-2.22135584664002,1.76201303500474,319.49855985495,9.73578359538297e-55,3.4938482062631e-51
LENG9,0.962875098472754,2.04050653687107,312.519418569578,7.80497350202568e-54,2.4008098492231e-50
RP11-588H23.3,-1.69029492800045,2.91623925773324,305.192094970927,7.08485133684124e-53,1.90688773731082e-49
MT-ND6,2.28278210951191,11.1191547422353,296.11579297342,1.12148165261413e-51,2.68308254934306e-48
IL17RA,1.09658220275876,6.01801473459037,281.785821121036,9.40339362672787e-50,2.02473871570704e-46
CLP1,1.09166810484254,3.29976742570589,281.029008863698,1.19098214869625e-49,2.3312934205207e-46
CHAMP1,0.680188346958737,4.42035153283633,275.2573192538,7.27784998343612e-49,1.30588888202789e-45
FBXL18,0.796928220571468,1.7804199195924,274.714026409848,8.63610599328323e-49,1.43040487882596e-45
LRP10,0.533069784754768,7.83297655647106,271.009685541376,2.78289273306555e-48,4.28008902345482e-45
CRABP2,-1.85458063195118,3.68852389872142,269.184726908065,4.96369289220949e-48,7.12521569033699e-45
RABGAP1L,-0.549146416596389,4.83573915997768,268.757043750943,5.68579267784656e-48,7.651655496212e-45
KBTBD4,0.529928131621248,1.93618566745581,261.518329619008,5.73414175745205e-47,7.2627964894975e-44
SP6,2.77207003810508,1.6211949371663,260.351692250536,8.34015510250377e-47,9.97667887039506e-44
RP4-635A23.6,2.9044412483257,0.473713077441839,258.073973736554,1.73621053321977e-46,1.96758343164674e-43
SUN2,1.09260190075486,7.66287189046375,257.818343671347,1.88539869870842e-46,2.02982023902949e-43
BBS9,-0.651700911613608,4.0122268772265,256.34859283359,3.03032987700561e-46,3.02319280599642e-43
MT-TE,2.96121282297162,0.338590988168008,256.289361575532,3.08890217963595e-46,3.02319280599642e-43
ASPN,-1.70305600090582,5.24884791692173,254.304746392986,5.87196654089479e-46,5.49718189384985e-43
NACC2,0.724009221467224,5.80003716260035,252.670054036858,9.98068051273326e-46,8.95433386667386e-43
CTR9,0.410416876202304,5.31718625779282,249.46947212233,2.82982965536226e-45,2.35542941165661e-42
MT-TY,4.54236492002207,-0.30514669248968,249.387323307615,2.90672622064673e-45,2.35542941165661e-42
RP11-613D13.8,2.97553464119816,3.20872181695913,249.338327430169,2.95358508799593e-45,2.35542941165661e-42
HUWE1,0.415904401306104,7.65421860356067,248.769188700171,3.55682525006199e-45,2.73519861729767e-42
SCAMP2,0.534608964259614,6.21937513685787,247.70529041521,5.036345211593e-45,3.73939948606967e-42
CHPF2,0.785453424928847,5.16053949408058,247.48103580062,5.41981499123959e-45,3.88998187971236e-42
SH2D1A,-1.72877437811927,1.3015540384873,247.276064420974,5.79591453066507e-45,4.02573005400904e-42
FLOT2,0.624301023052511,6.85665265634995,245.998442232573,8.80912784379105e-45,5.9274418978909e-42
TPPP3,-1.61881322075874,4.86581297936985,244.987437302027,1.22754646738043e-44,8.00955470776832e-42
AP5B1,1.22038071605276,5.01825581377516,243.76175988664,1.83662630218368e-44,1.1631246334888e-41
ZBTB42,1.17990816924176,2.8045164856869,241.093091738711,4.42664315759743e-44,2.72327087055394e-41
CRIP1,-1.20751312006622,5.98709499566893,239.988618071569,6.37708850393856e-44,3.81420749074458e-41
MYD88,0.75418857056787,5.75713606822205,239.578216462264,7.30466086995016e-44,4.25091777977748e-41
PLCB1,-0.906686790869049,4.50494978903226,239.470953421339,7.56868198062265e-44,4.28865422123071e-41
PARP2,-0.603829461889553,4.03375410492138,236.129688872794,2.29381581307293e-43,1.26642159197657e-40
WDPCP,-0.675874576380374,3.03774211978551,235.539283298111,2.79182935852899e-43,1.50284174369616e-40
INTS5,0.65069579203712,4.38268264907237,233.895880231212,4.82827341076577e-43,2.53566788001484e-40
IRF2BPL,0.913482604333833,6.31305433680843,233.281859694715,5.92685917597704e-43,3.03850313755089e-40
KIAA1328,-0.597706819716228,3.12113938053901,232.290397565621,8.25570316979931e-43,4.04270320722507e-40
LDOC1L,0.76378515783297,5.28709667515659,232.288428217565,8.26114346637113e-43,4.04270320722507e-40
MT-TC,3.44825568454556,-2.20172523672479,230.897927459291,1.31597738872632e-42,6.29680558534558e-40
C17orf58,-1.14695083173422,3.6408016991827,230.233112441484,1.64464260214972e-42,7.55458360611177e-40
RP11-693N9.2,-1.28236989932904,3.02067126033792,230.225203049423,1.64901276930732e-42,7.55458360611177e-40
RPS6KA2,1.02232159824012,6.77762664835478,229.671534416237,1.98578639708385e-42,8.90790681291862e-40
MIR22HG,1.94107982651009,7.1348543692974,228.258173110264,3.19341402521609e-42,1.40327736308067e-39
PLAGL2,0.911087851742613,4.32792023271792,227.45753622864,4.18140120760854e-42,1.80067861604454e-39
HCFC1,0.439769249814001,6.22577560770632,227.336862688112,4.35490074387139e-42,1.83862201602037e-39
HPS6,0.813568888445499,3.43697481981532,226.984011063647,4.90482915492058e-42,2.0309765646875e-39
KIAA0100,0.580720073226461,6.8069844785,226.648318600435,5.49266112086876e-42,2.23147130668955e-39
NTM,-1.6957734643547,2.91960714864785,226.581836636636,5.61721854023115e-42,2.23981388163439e-39
RP1-111C20.4,-1.2932844204564,-0.109236953362285,225.43180536805,8.28194980486145e-42,3.24230805815049e-39
KTI12,0.958760767653532,2.97562408834006,223.980589469802,1.35303592679518e-41,5.20242313852748e-39
MT-ND5,1.55637945795779,12.6171086182135,223.540268348947,1.57065420040365e-41,5.93321513036693e-39
TBC1D14,0.766679218274699,4.14052608398787,220.917967169443,3.82555614851041e-41,1.42020474120218e-38
FAM212B,0.912128462537165,4.67907445276973,217.784249328032,1.1134798149201e-40,4.06363514828128e-38
SERPINA3,2.63852937011928,6.80113288510685,216.788620116509,1.56513304452602e-40,5.61674078578904e-38
CNOT11,0.356928142733633,4.85400308016558,215.668761362353,2.29685169169294e-40,8.10750993861185e-38
RP11-513M16.7,-1.22600849744736,0.133707496051153,215.356367136761,2.55653674643249e-40,8.87860471357812e-38
SSPN,-0.932709465602445,4.86809833652348,214.993917941793,2.89502353939376e-40,9.89454711908355e-38
TRAF5,-0.772669126161553,5.61133516203333,214.805497245856,3.08841611608e-40,1.03905899705367e-37
RP11-269F20.1,-1.79646684696362,-1.96185131612556,214.408122697724,3.53988866881271e-40,1.17262896641347e-37
RBM15B,0.503303419901154,5.64886995635224,213.568007120465,4.72474081830781e-40,1.53978413619609e-37
ZBTB10,-0.692370220672255,5.03444923572158,213.527348997325,4.79126588914815e-40,1.53978413619609e-37
GALNT16,-1.01692162478385,5.0259116103702,213.421202403724,4.96941182672568e-40,1.57354963901555e-37
C1orf132,1.47044395682684,4.03563344988843,213.167700425799,5.42225365532157e-40,1.6858742263543e-37
MT1E,2.19422821923078,8.15277638313169,213.136523627845,5.48073545628837e-40,1.6858742263543e-37
USP22,0.386974509890469,6.71773802334497,212.174846353705,7.6323343248536e-40,2.31463975609504e-37
METTL10,-0.410938503695246,3.7614694819325,211.88009751613,8.44847970480094e-40,2.52656479171908e-37
ZNF251,-0.681109393053258,4.88835561712832,210.74056951043,1.2518126776978e-39,3.69233295564232e-37
NUDT16,0.874603642705249,6.31794639418301,210.679767156373,1.27837697371017e-39,3.70333587255425e-37
FURIN,0.776903958701331,7.4937770546949,210.653692992004,1.28994143805299e-39,3.70333587255425e-37
RNF123,0.376126263294245,4.67388433602579,208.99183504047,2.29171931669908e-39,6.49280267462691e-37
ARHGAP35,0.604749333217384,6.09988203140978,208.134504789731,3.08437494561685e-39,8.62503393883404e-37
RPSAP36,-2.23417426754652,-1.50299256847226,208.070727639831,3.15333880328593e-39,8.69622940047279e-37
AC008982.2,1.87411588268484,-0.916329264955716,208.036840360372,3.19060989521341e-39,8.69622940047279e-37
MT-CO1,1.84825727072488,14.1499137599258,207.046770201483,4.49866335326225e-39,1.21081524153054e-36
SFRP4,-2.12011733640998,5.7564559086042,206.901548856571,4.73138259727022e-39,1.25773000104225e-36
PAGR1,-0.806671862856454,4.67109883560371,206.472529568632,5.4919638246702e-39,1.44210933015608e-36
LILRA2,1.92225671508887,2.48973536843866,206.276994461841,5.87825128266006e-39,1.52494586287032e-36
CDC42EP4,1.26161026219643,7.88550453688506,206.085186695433,6.28368494156819e-39,1.61071790668865e-36
DANCR,0.662598674805053,4.05601745944194,206.047321925201,6.36698205099652e-39,1.6128689120242e-36
MYC,1.5978106331166,8.81732119941014,204.983052316885,9.22187010038556e-39,2.30889891862212e-36
ZNF324,0.610528281723007,2.93056530984613,204.545341995528,1.07414534898596e-38,2.65844800624894e-36
ARMC5,0.736098716022905,4.26441706153603,204.067348026783,1.2689779754303e-38,3.10495838260969e-36
HSD17B4,0.749202408493229,7.27653963587564,203.924765299784,1.33369980201786e-38,3.22665439742119e-36
TMEM8A,0.543997150306771,5.68527401451046,203.344628702599,1.63308279135545e-38,3.90705985149617e-36
TMEM127,0.358891385045983,6.43256249064524,203.270387054284,1.67598074367069e-38,3.96562828271618e-36
SEPHS2,0.625275462082992,5.57556695977981,202.992243758906,1.84700707119993e-38,4.32279959316054e-36
CYS1,-1.99538268935237,2.72784536711655,202.445677743086,2.23586184774338e-38,5.17662121565703e-36
C12orf49,0.483712320120009,4.39686985987435,201.739223298304,2.86284099687646e-38,6.55773322816424e-36
TXLNA,0.554250054608686,6.64304873217909,201.635793493082,2.96841117089052e-38,6.72798203490681e-36
MTF2,-0.569208201314711,4.18210153332359,201.068087691832,3.62151081205246e-38,8.12274695886599e-36
DDB1,0.388026798227619,7.34382985125088,199.972923405994,5.31753476450809e-38,1.18038307782874e-35
C8orf4,-1.81601854117871,6.72623559242789,199.519676924085,6.23494795218918e-38,1.369907135781e-35
CTD-3035K23.7,-1.15728680833723,2.04772705709729,199.212500876826,6.945541522147e-38,1.51062020257444e-35
PREX1,1.01993399107363,6.17786665127038,199.15721305309,7.08182281857064e-38,1.52485808929463e-35
MGAT3,1.32043270128816,4.78070467483865,197.971599510533,1.07469556366949e-37,2.29112325514174e-35
MT1JP,3.05688253127634,3.34381070718747,197.607505177479,1.22173985386256e-37,2.57906887582045e-35
TMCO3,0.452125427969404,5.54490370627571,196.733028103964,1.66291331452196e-37,3.47629606682397e-35
TDRD3,-0.412353137190855,4.11997931228422,196.621114149307,1.72988696019648e-37,3.58153134874525e-35
ST3GAL1,0.714172110888732,6.9102127691588,196.329419072825,1.91746238570954e-37,3.93123603223346e-35
KMT2D,0.504121752584314,6.84623109158078,196.303173341214,1.93531032610416e-37,3.93123603223346e-35
CIRBP-AS1,1.0656806291195,0.478838339485631,196.203576419932,2.00457081210141e-37,4.03387090898762e-35
IGF2R,0.50190545312028,7.34234038321259,196.13692315885,2.05230726943098e-37,4.09169260420258e-35
FLT3LG,-0.826495505635596,3.50333223022781,196.085519010228,2.08990092411307e-37,4.12841712825712e-35
ANTXR1,-0.827642468592346,6.92776919156468,195.955335370889,2.18823212753365e-37,4.24579879463383e-35
KLHL36,0.48758340528875,4.03564738491237,195.954653301462,2.18875936375792e-37,4.24579879463383e-35
MOB3A,0.485189383676448,5.86167690732905,195.815502426254,2.29903491084359e-37,4.4198946160968e-35
FASTKD5,0.704956595589303,4.07492871020654,194.636859982671,3.4877755868424e-37,6.64591008282218e-35
WDR81,0.588275614714415,5.63663467559033,194.440096584026,3.73936101348997e-37,7.06280011776017e-35
TFIP11,0.442809832355278,4.33011057701818,194.21411827827,4.05087534621894e-37,7.58464764824227e-35
RP11-573D15.9,1.87814033521539,0.755978304142415,194.023272453209,4.33418119721158e-37,8.04513702916894e-35
RP9P,-0.697920017089477,2.72191586911549,193.715036892522,4.83439178750082e-37,8.8969336725186e-35
GPX3,1.42961814813972,12.3092534069652,193.602417351789,5.03128196954219e-37,9.18081045493071e-35
SULT1B1,2.23363267802733,2.40548134221166,193.420290051671,5.36688131148986e-37,9.71089818478989e-35
LINC01578,-0.553872520908622,5.77072536084715,192.681593438629,6.97501390825372e-37,1.24578679573013e-34
NLRP12,2.16568785029205,0.975650781316969,192.671217980698,7.000752474612e-37,1.24578679573013e-34
NREP,-1.10002500492733,3.68719042935827,192.41871584546,7.65741840291137e-37,1.35147158238924e-34
CTD-2267D19.1,1.33520565601448,1.42297352020849,192.292425096282,8.00871878637738e-37,1.40198156835998e-34
AC005550.3,-2.17253974411532,1.62845704110601,191.898292693005,9.21262742275748e-37,1.59972817473237e-34
THAP9-AS1,-0.648965689661311,5.26775106829764,191.570592412156,1.03509650974126e-36,1.7830158438199e-34
CCDC102B,-1.2266707471766,3.31791918590559,191.252809014384,1.15896840875641e-36,1.98054823629707e-34
COPA,0.403113093367557,7.51942585428364,190.97244556912,1.28056579386845e-36,2.17111359634452e-34
MMP19,2.23584700912628,8.31427551406576,190.557983620106,1.48419780499394e-36,2.49669899508825e-34
PTAFR,1.53555527567933,4.14885629127665,190.209214724039,1.68056501709721e-36,2.80511053861528e-34
RP11-667K14.3,2.57969609353348,1.86414570638677,190.062104172665,1.77102990936916e-36,2.93337046219514e-34
IL17RD,-1.18853648955555,3.68994335845378,189.853716487116,1.90761272202088e-36,3.1354745901186e-34
MIRLET7BHG,1.32638901778351,2.70971667006006,189.330696114723,2.29887160727644e-36,3.74994723089971e-34
MEGF8,0.639665659060792,6.02903571660277,189.201857568164,2.40704427137813e-36,3.87739884960274e-34
HKR1,-0.435198435814289,5.01966793326328,189.194910823958,2.41301990454564e-36,3.87739884960274e-34
GNG11,-0.745356131430394,7.3658294501645,189.113122649067,2.48450514868662e-36,3.96269369344594e-34
OPA3,0.645617275385586,4.48601177000174,188.978571989458,2.60676440324781e-36,4.10106890200098e-34
AC012613.2,-2.00392769685349,0.266899328591157,188.975789416048,2.60935556183418e-36,4.10106890200098e-34
TUBB4B,1.20636623615931,7.36434306685147,188.550672082874,3.03721923541642e-36,4.73894236065119e-34
TLN1,0.499017685374471,9.46398724117538,188.514279650943,3.07696995492597e-36,4.76642568845079e-34
SLC52A3,1.61047053104256,2.49339778482498,188.11074172948,3.55437180067342e-36,5.46662382943572e-34
AMZ2P1,-0.686416680974375,3.54100773918848,187.815037458408,3.95083536591223e-36,6.03328986516468e-34
MT1F,2.01065613046087,4.14526175061984,187.124226285775,5.05897055158691e-36,7.6711094307584e-34
SFRP2,-1.60390273144228,7.59437183283221,186.484777987219,6.36144071777332e-36,9.57863926818847e-34
CCNL2P1,-2.6099663607044,-3.38895034943621,186.145810200327,7.18351055198768e-36,1.07413436948194e-33
SOCS3,2.24916198737982,10.1314477688376,185.852588624696,7.98026633825614e-36,1.18504203307125e-33
HNRNPUL2,0.301845209213704,7.04986950471218,185.759524040362,8.25125865380064e-36,1.2168911050249e-33
RP11-642A1.2,-1.75560823487923,-0.574706832144276,185.660027125402,8.55121343915583e-36,1.25254916851635e-33
MAP1S,0.518965398764393,5.11188321216578,185.32416430417,9.64701728260361e-36,1.40351064952041e-33
RP11-278C7.4,-0.897252919715856,-0.382128171479981,184.920606872178,1.11519121849214e-35,1.61156357829348e-33
CTD-2023N9.3,-3.10413553389577,-2.81593473781378,184.75621725687,1.18305816744852e-35,1.6982405641001e-33
UBE3C,0.418572056409257,6.25291661439695,184.726554035967,1.19573909106194e-35,1.70507643104276e-33
POGZ,-0.525230539032935,6.84197892226961,184.622069449087,1.2415031898292e-35,1.75557182835535e-33
GLT1D1,2.75012883098261,1.69638878282939,184.60876095133,1.24745722523857e-35,1.75557182835535e-33
SCN4B,-1.50373438403874,5.48936279699546,183.350761585146,1.96169032822056e-35,2.74279974982111e-33
RP11-447D11.3,1.05278226999467,0.0482251424331725,183.287791042379,2.00669769550321e-35,2.78762675997259e-33
EOMES,-1.5594436776496,0.986647944562375,183.03027399879,2.20180918930961e-35,3.03906124770606e-33
PLXNA4,1.16152287748044,6.66452162865411,181.972067059332,3.22511886701431e-35,4.42313754423899e-33
ZNF519,-0.992217008963064,2.21179546921122,181.712934467945,3.54144530613065e-35,4.82622786908893e-33
TLR8,2.16153049369622,2.31621602805149,181.376278100716,3.99941770666716e-35,5.41606679622373e-33
MSRB1,1.01420299300195,4.76752629033017,181.071276725815,4.46551003052162e-35,6.00946012357447e-33
KLRK1,-1.30112067687822,3.0085269677868,180.982946708687,4.61041513569589e-35,6.16592911191328e-33
STXBP6,-0.962315055056314,3.53416936515889,180.95153232059,4.66308108494002e-35,6.1978680198104e-33
CDKN1B,-0.905904292095569,6.20520367893965,180.806514740896,4.91414478973251e-35,6.49149482285402e-33
MIPOL1,-0.613103292143995,2.61571041963045,180.69356589086,5.11905930359281e-35,6.72095030030246e-33
NAALADL2,-0.792369516411896,2.53474436140462,180.647273422416,5.20550397612937e-35,6.7930249463041e-33
RP11-253E3.3,1.50221397057224,2.81465323277995,180.391107534056,5.71105692471133e-35,7.40786010258339e-33
SOCS1,1.60576860908809,3.26143085152428,180.356755530031,5.78250180346234e-35,7.45561849294318e-33
CASC4,-0.450604400529583,6.15394500760393,179.007198995455,9.42899581774769e-35,1.20848296397466e-32
CNDP2,0.526481609436887,6.53686386841186,178.301755035062,1.21799768579274e-34,1.55182995091653e-32
RP11-223P11.3,-2.11336257405378,-2.04642658523994,177.737607773815,1.49502412897312e-34,1.89357997323818e-32
TBC1D16,0.936723851620481,7.02880471789155,177.019073396491,1.94143221173927e-34,2.4446151101269e-32
KRBOX4,-0.637470832404603,3.92147459741855,176.829828353362,2.0798413816594e-34,2.60367119941222e-32
M6PR,0.443078412830621,5.56352574126777,176.785584256431,2.11360477394216e-34,2.63064381459668e-32
UBASH3B,1.65976297237589,3.43874169639111,176.680146237408,2.19630232752678e-34,2.71786101817854e-32
EIF3A,0.57135006806877,7.96672618579625,175.789241239755,3.03839448628706e-34,3.7384405759276e-32
CTC-529I10.2,-0.9892193070334,1.24907079457994,175.697169414478,3.14211781821699e-34,3.8440955035141e-32
MTF1,0.486189968341413,4.54500866893779,175.537029383125,3.33106830588744e-34,4.0522351843146e-32
CXCR2,3.0675245886192,3.0861825244065,175.356423409652,3.55789840508758e-34,4.28312445580037e-32
AAR2,0.507551462641879,5.25999490543983,175.354303849032,3.56065055539786e-34,4.28312445580037e-32
UBN1,0.349315667051619,5.9103906531151,175.24474478847,3.70585832866561e-34,4.4330300851571e-32
