,logFC,logCPM,F,PValue,FDR
CTR9,0.796962795595819,4.72110009050941,347.83896115449,2.16946443730642e-54,4.31289530136516e-50
MMP16,-1.49714771446104,2.28302765849981,340.916421872571,1.2478784444312e-53,1.24039117376461e-49
LTBP4,-1.06945143431557,9.55569334073423,320.890330032983,2.17844916104743e-51,1.4435856440541e-47
COLGALT2,-1.43530263309779,4.96931405436815,308.272455409002,6.10391996683165e-50,3.03364822351533e-46
TXNRD1,1.43484021934379,7.1475311825403,306.929824622411,8.73514667603944e-50,3.47309431839328e-46
SMOC2,-1.41373594978782,6.07154267231436,300.344694061999,5.12156704053784e-49,1.69694587943154e-45
ARHGAP15,-1.20770411865348,2.54895369935,288.299178309917,1.36446201562086e-47,3.87507212436323e-44
TRIL,-1.85568934505404,2.86773442321624,284.573727181734,3.81374695939744e-47,9.47716119410263e-44
PAGR1,-0.798071674719612,4.63577858042578,280.689359299849,1.12099884932991e-46,2.47616190274207e-43
LINC00511,-1.57832258953122,0.235069863898864,280.225386659221,1.27564674395434e-46,2.53598572698122e-43
PDE5A,-1.18843921607772,4.33691908893601,278.387200789829,2.13058999669424e-46,3.85055719402559e-43
OGN,-1.73788757052835,6.70613425082331,276.702486730427,3.41387620743955e-46,5.65565491699152e-43
EXOC8,0.681136470563132,3.25486053698696,275.409525279189,4.90638433126172e-46,7.08511212976915e-43
MFAP1,0.583286609317948,4.1881275360202,275.349694120681,4.98951558434447e-46,7.08511212976915e-43
TFIP11,0.586792042330664,3.6887611414641,274.851774469296,5.73865878659171e-46,7.60563577849621e-43
RP11-123K19.1,-1.9848161744089,-1.34814699135027,273.190860804777,9.1582988289751e-46,1.12617410686597e-42
RPS6KA2,1.09966586424122,6.58517386202407,273.012575349089,9.63026147722411e-46,1.12617410686597e-42
IL17D,-1.30695477812021,2.66171654455565,271.605101038545,1.43266035316089e-45,1.58229376782436e-42
PTCH2,-1.26231473648626,1.68285655937646,271.170817080677,1.61975816257518e-45,1.69477854063129e-42
SMG8,1.15142958244402,2.87768913192752,270.026325107803,2.23930390939024e-45,2.2258680859339e-42
LMX1B,-1.41902354333885,2.44952592637268,266.932341234698,5.3912725858235e-45,5.10373804791291e-42
COL15A1,-1.24734116870431,7.4519442182338,266.096959453421,6.83988955277752e-45,5.76435536443934e-42
ESR1,-1.04613745927803,2.63117470614514,266.09571060735,6.84232515568865e-45,5.76435536443934e-42
HPS6,1.05405204284618,2.81109535349188,266.036413782101,6.95898031924266e-45,5.76435536443934e-42
WNT9A,-1.4957203963471,2.21739718079512,264.776356425344,9.97079271042038e-45,7.87039691721995e-42
FREM1,-1.4418215277065,4.13627623257435,264.664953547667,1.02932756462635e-44,7.87039691721995e-42
RASSF1,-0.901124169895565,5.27233311226206,263.824956043597,1.30878956421253e-44,9.06170713972264e-42
OXER1,-1.24361267362507,1.12843655515403,263.76029735878,1.33323134849178e-44,9.06170713972264e-42
FNDC1,-2.30300562473406,2.31989089727482,263.704220769425,1.3548004441975e-44,9.06170713972264e-42
SEC24C,0.569452760278417,4.97307768278072,263.67172224882,1.36746083597424e-44,9.06170713972264e-42
C1QTNF2,-1.50509558254938,2.35869306752208,263.372472792447,1.48977867776776e-44,9.55380648839454e-42
