,logFC,logCPM,F,PValue,FDR
TPPP3,-2.25856350506932,5.0169912980575,530.914737722386,1.3875485235189e-82,3.00279375974726e-78
TRIL,-1.84458490618675,3.4375767858264,418.111633707081,1.95813237509133e-69,2.11879713646758e-65
PLPPR4,-1.62984637230221,3.60687504889834,414.90113013473,4.87918833499195e-69,3.51968382525202e-65
CRIP1,-1.41700502611823,6.04369754534506,402.167338176351,1.88031333587639e-67,1.01729652254252e-63
PRSS35,-2.01152340672062,1.30742926420431,376.314771110906,3.63828964113425e-64,1.57472452247572e-60
SUN2,0.939434716310454,8.08875671733665,359.091878176536,6.34327692450042e-62,2.00693286922194e-58
C1QTNF3,-1.77083353362122,3.22159027758769,359.01546502695,6.49162704336841e-62,2.00693286922194e-58
GPX3,1.82132761974141,12.1973051692014,357.556779027645,1.00965604011995e-61,2.73124579552948e-58
NREP,-1.40520045985824,3.65875512139313,351.459797410083,6.44654071626243e-61,1.55010652934039e-57
GALNT16,-1.21380976210472,5.67618891795519,343.469734144699,7.46198376699811e-60,1.61484790701606e-56
CDHR4,-1.75893178433581,-0.0203307025386688,335.038476942589,1.01295815496108e-58,1.99285703922843e-55
AF131217.1,1.8771789148937,1.35568670628112,334.032496491023,1.38507486033764e-58,2.47418059511151e-55
KLF15,1.66072412953527,6.06383719088603,333.805934738775,1.48626901420681e-58,2.47418059511151e-55
SEMA5B,-2.13965023234291,2.10338185660151,333.076524392008,1.86528521086657e-58,2.88333123202596e-55
BCL6,0.948038702978925,8.78524851711025,326.677563258776,1.37947407987252e-57,1.99021323750141e-54
CERS6,1.03503893349746,4.53692192071653,319.873371080307,1.17701927898126e-56,1.59199213852709e-53
AOX1,1.39231270281735,8.08847100681092,315.026489217447,5.47682020739285e-56,6.9719921240111e-53
EIF4EBP1,1.32372605483993,5.25378174750612,314.466027501474,6.54615734437993e-56,7.87029950498478e-53
CYP4B1,2.77165761693143,7.31090545197708,309.445555111845,3.25171396589725e-55,3.70370220715696e-52
NAP1L1,0.59620254285229,8.67465823873849,308.867090811789,3.91367954160199e-55,4.23479694799043e-52
GLUL,2.01837579709787,11.6776198062965,307.619719581739,5.83848353525137e-55,5.97688453921937e-52
NMT1,0.47927318260841,6.82257536317817,307.495451621101,6.07603437284904e-55,5.97688453921937e-52
RASL10B,2.38266346045075,5.20390225614213,305.034701439109,1.34004181606172e-54,1.26086282353877e-51
KAZALD1,-1.35025545873427,2.69244946529639,304.671883614525,1.50608370645236e-54,1.35804822880565e-51
LINC01091,-1.48643051857083,-0.548575462906387,302.589201753499,2.94768847504668e-54,2.55163705153941e-51
C17orf58,-1.0267936005572,3.57706232702009,300.814412700975,5.23083465706973e-54,4.35386510821715e-51
NADK,0.73774944741465,6.73108479648555,298.899966092984,9.72416487369944e-54,7.79409822339739e-51
JAGN1,0.694413297243182,5.14116786763209,297.29604948285,1.63655122311586e-53,1.26487875069465e-50
DANCR,0.744485409019747,4.1927967403276,296.894446542671,1.86468195064527e-53,1.39150283082463e-50
SCN4B,-1.64681901959984,5.56476533374244,295.471317316477,2.96250942735855e-53,2.13705555058221e-50
TEX2,0.955301452929131,5.97985165977147,295.352750472833,3.0791153058643e-53,2.14952046239385e-50
CRABP2,-1.93532648708588,3.71271206104925,284.254410984833,1.17075079623367e-51,7.91756811915404e-49
SENP2,0.473269910234667,5.43035061281838,282.413783812475,2.15064709683228e-51,1.41036829765295e-48
SULT1B1,2.12310348411342,1.17429387773538,280.996851516668,3.43782233498115e-51,2.1881739162155e-48
