,logFC,logCPM,F,PValue,FDR
MED18,2.48021821141541,3.85975969887067,935.257622973124,1.54621890128931e-126,3.17902606105083e-122
CARD6,3.21306440190553,5.79740881134667,912.050286013144,1.70905335893325e-124,1.75690685298338e-120
USP36,-2.54989128435725,5.94455168740767,902.550478692935,1.19716546767711e-123,8.2045740051471e-120
NMNAT1,2.00906445522255,3.03889331359231,897.958487038987,3.08096084970182e-123,1.58361387674673e-119
HTATIP2,1.86073187298911,5.61212911178365,884.457293849613,5.0456890333943e-122,2.07478733053174e-118
CCSER2,-1.51531957742391,4.68322225082071,871.336404896979,7.82341700596655e-121,2.68082422737787e-117
KCTD21,2.31439111166312,3.91606965099145,865.682845780294,2.56785786361664e-120,7.54216538227973e-117
SAP30L,2.17734688846535,4.99367351076599,862.204214896358,5.34744015463017e-120,1.37429211973995e-116
TNFAIP8L2,2.7007182054677,6.04681850731861,855.287542550446,2.3109849360013e-119,5.27931669824296e-116
SNHG15,-1.84975024052823,4.07707521923308,841.65769680099,4.21825198959133e-118,8.67272609059977e-115
IDH1,2.08701084715775,4.9417622611996,829.879402464168,5.30387769259425e-117,9.91342957815798e-114
P2RY13,3.36320458996067,8.04460288334002,822.660227193434,2.52861795054229e-116,4.33236542192913e-113
DHRS7B,1.77987119613711,3.82760181852178,818.197253044644,6.66657109028036e-116,1.05434385858588e-112
FRAT1,2.85648296841367,6.84592854125327,812.354938700543,2.38239795488996e-115,3.22718671023461e-112
EZR,-1.68272536215117,7.31731353147076,812.154696267827,2.48892462742807e-115,3.22718671023461e-112
FAM103A1,1.71147450451122,1.85256947317625,812.113494607593,2.51142934648608e-115,3.22718671023461e-112
UNC50,1.47923807785338,3.45355533879686,799.951234885289,3.62078547213518e-114,4.37902054747643e-111
SLC39A1,1.63273659621984,5.97833074369268,794.10263588376,1.31707900133215e-113,1.50439690374384e-110
FBXW4P1,-2.73064322584464,1.35145373240037,791.972397968236,2.11081267684239e-113,2.28412150715156e-110
PTAFR,2.81527072901925,7.99923313385275,790.403708421113,2.98873552339006e-113,3.07242011804498e-110
C1GALT1C1,2.3012703501553,3.68861375285456,780.79619011818,2.53625196037151e-112,2.48311144310658e-109
TLR5,3.51864444454798,6.65796288335389,779.10840904724,3.69824466402025e-112,3.4561777405571e-109
PUDP,1.73382911841218,3.17716568307396,771.848752056733,1.88284309760193e-111,1.68309800376938e-108
HNRNPA3,-0.871174155838223,7.21620701897942,768.117213384931,4.36069990578516e-111,3.73566625262262e-108
S1PR4,2.36659976856179,8.68840521542437,766.947000355695,5.67728540982384e-111,4.64517655815014e-108
TSPYL2,-2.70653218422256,5.87340676476725,766.795804840305,5.87425051127936e-111,4.64517655815014e-108
ZBTB4,-1.57255643385611,5.59688001961713,763.293484256754,1.29570193292971e-110,9.86653027445738e-108
NDUFAF1,1.79901789852697,3.47985915687261,759.351835353815,3.16366449431869e-110,2.32303364297115e-107
KCTD2,1.68197929939749,5.39408587247802,753.137795171115,1.29905029532358e-109,9.20981864546648e-107
NLRC4,3.03251231634988,6.81976725937195,752.007293735477,1.68082938226778e-109,1.15192840331418e-106
ZNF331,-2.47036623984453,4.10602165305277,748.075063873697,4.1252895620762e-109,2.73599849665441e-106
IGSF6,2.3911294055654,7.71097202348645,745.383869260772,7.63773701404856e-109,4.9072460315262e-106
TMEM60,1.5120945809876,3.12128282156218,743.337687983323,1.22098685083967e-108,7.60711807674654e-106
SLC46A3,2.05681759870972,4.6258754468494,742.519258612384,1.47329763620099e-108,8.90911747067424e-106
SNX11,1.50619084838541,5.70009925962652,741.929717605656,1.68688346188372e-108,9.90923542180835e-106
JOSD1,-1.49488544419213,6.35560185807954,741.806232394915,1.73541521546978e-108,9.91114911946077e-106
CREM,-2.16967912896226,4.52042639492196,739.036791289687,3.28067227102059e-108,1.82298978086982e-105
RER1,1.07562545798997,6.06775849262275,737.002966389516,5.24107716108999e-108,2.83569859031606e-105
COPB2,1.11651265588924,6.15827600054413,735.379405404009,7.62175191100106e-108,3.95187756995428e-105
PDCD6,1.34790380127907,5.02921627044164,735.341637655904,7.68847776255697e-108,3.95187756995428e-105
CANT1,1.93962420370387,6.48881438566957,735.213421175113,7.91940584119179e-108,3.97129229499764e-105
DRAM1,2.23829134028354,4.80727723081022,733.790574260443,1.10001368745561e-107,5.38482890811606e-105
TNFSF10,2.76535657886442,7.08258110246067,732.90761063261,1.34905829497813e-107,6.45038105691866e-105
ASXL1,-1.06810407741919,5.5911428905913,732.70696786973,1.41312128642515e-107,6.60313037475024e-105
IMPA2,2.59326476924835,6.66143403328021,731.210697790401,1.9976993254855e-107,9.12726625155155e-105
SULT1B1,3.14004432876548,7.15137323752185,726.06554319222,6.58874233323567e-107,2.94488135589838e-104
RP11-135F9.3,1.90396740246961,3.27362095508404,725.491521390018,7.5291534656078e-107,3.29360415431695e-104
FAM32A,1.15936595960249,5.69552703572166,722.739777049323,1.42842855245555e-106,6.11843563301794e-104
RP1-193H18.2,3.15528056084347,3.59600442284795,720.728633044297,2.28286084576401e-106,9.57869775283838e-104
B9D2,1.99248677994412,3.60665409067607,719.873297523532,2.78721986121239e-106,1.14610480693053e-103
RAB10,1.3765479601214,6.61162393272494,717.333106125866,5.04609494235232e-106,2.03426886303458e-103
HNRNPA1,-0.97409934226484,8.00620921856419,716.189352951277,6.59455151768587e-106,2.60738421545426e-103
EDEM2,1.2227115165296,5.65347805272161,715.490615361603,7.76677559836033e-106,3.01292276042054e-103
C1RL,2.06970712478943,6.84267050742593,715.100261072782,8.51044936338397e-106,3.24027479465138e-103
NFAM1,2.62009608746536,9.3766870212303,712.167831055618,1.69295854871713e-105,6.32858686574984e-103
PISD,2.15418381150157,7.2619967601721,711.069707966096,2.19113128118254e-105,8.04458198948448e-103
NR4A2,-3.49674013171515,4.72142430598085,710.898689066727,2.28098650376824e-105,8.22755833639913e-103
LRRC4,2.48810556131724,5.30036878524774,704.879729063364,9.41562960272363e-105,3.3376783557241e-102
CSNK1E,-1.32911265788249,4.89096870961238,704.168363979366,1.11379305573431e-104,3.88128563150803e-102
ZSWIM1,1.37665536715818,2.88279169725389,702.366377818867,1.70523718694787e-104,5.84327942727469e-102
RIPK2,-1.29714697432103,4.19713175891023,701.889465565622,1.9089016386082e-104,6.43393732619418e-102
TRAF4,-2.12084704730214,3.09710267946371,699.198250316483,3.61088710843416e-104,1.19741675724849e-101
TMBIM4,1.60008724205862,6.07548181786727,698.963192192915,3.81785770770708e-104,1.24595483286441e-101
NQO2,2.21747997512634,7.50530070006312,698.125398233978,4.65724503551428e-104,1.49613996765896e-101
MNDA,2.20419882206756,10.2310759002561,697.222655784823,5.77019640423005e-104,1.82515750878415e-101
TLR8,3.10994511177136,7.53149654821167,695.148167427959,9.44681601784167e-104,2.94282632313371e-101
OPRL1,2.04030519640172,4.87027249581362,695.007933281459,9.76720435338443e-104,2.99721972396394e-101
SMUG1,1.31049791311664,3.40565145137654,693.264109459052,1.47917263221303e-103,4.47232195857351e-101
FLOT2,2.44637589110933,10.2194820136261,690.228940621583,3.05010875419374e-103,9.08843999800338e-101
APH1B,1.92872649686374,5.17093039818325,689.697354977085,3.46287219715974e-103,1.01709503390863e-100
RP1-111C20.4,-2.1318857543229,1.51843807614075,687.117834564113,6.41547345847217e-103,1.85777653952377e-100
AUTS2,-3.05880286113806,3.91623623432708,684.074173368146,1.33009724979722e-102,3.79816659108762e-100
CRNKL1,1.21290842684761,4.42711410844827,682.663513184402,1.86592671371538e-102,5.20375559200729e-100
MANSC1,2.69675665222936,6.53378698610505,682.647872082322,1.87294705159795e-102,5.20375559200729e-100
SMAD7,-1.84073759360508,3.13879571296298,682.158152739021,2.10668220970846e-102,5.77511816421412e-100
YIPF4,1.36378317507043,5.49604673875712,682.01327039691,2.18128634599642e-102,5.90095358864295e-100
