,logFC,logCPM,F,PValue,FDR
ZBTB39,1.01726925764342,3.55227460550401,345.449089371313,9.87765147772277e-54,2.01365803024856e-49
CLP1,1.15154226641304,3.06181056060554,334.17547933225,1.67347990952893e-52,1.45493128921417e-48
ZNF689,0.813473972128111,3.57154660503718,333.202702992543,2.14107420172791e-52,1.45493128921417e-48
HPS6,1.08995695795113,3.8293425091094,324.180949867017,2.14066577405015e-51,1.09099031174466e-47
LDOC1L,0.893894556331303,5.68409243239411,315.849752612784,1.84557178200907e-50,6.76635635757720e-47
C1QTNF3,-2.17109976760607,5.3133430107905,315.557437860761,1.9914715071845e-50,6.76635635757720e-47
PTHLH,-2.8654588337594,2.58199664735315,314.45791553629,2.65214050694944e-50,7.72379091066732e-47
DNAJC14,0.760710637485612,4.11171474283383,311.726928089585,5.41437153419755e-50,1.37971722620189e-46
GINS3,-1.47449024239628,2.27580524834622,309.277652120868,1.02953237101595e-49,2.33200521283681e-46
GCC1,0.677056939043059,4.12368829425427,299.688416152868,1.30498635960561e-48,2.660345192692e-45
TRMT10C,0.817147866257437,3.55071079700311,285.388326679419,6.19032986229774e-47,1.14723695066183e-43
MOCS3,0.937351329852435,2.65673014909218,277.195762798679,5.88070813621112e-46,9.99034300539998e-43
SLC6A1,-1.77513481714306,1.71736353117446,276.653954526532,6.83203289331216e-46,1.0713678658697e-42
HYMAI,-2.38267414926502,-0.0241235009338454,272.45363649913,2.19458580371297e-45,3.19563044246376e-42
GSPT2,0.918714332100889,3.31553043643988,270.502072627075,3.78457283274132e-45,4.70859161733441e-42
TFIP11,0.627443230556398,4.1486511081984,270.490981928705,3.79633039685184e-45,4.70859161733441e-42
DDX28,1.14821094072379,2.87778191722766,270.370434445537,3.92652101906627e-45,4.70859161733441e-42
NTM,-1.78632306104732,4.12479639357909,268.324116512637,6.96685768216338e-45,7.89035337269904e-42
UTP3,0.789652581254225,4.37498386992569,267.626827150005,8.4739747305733e-45,9.09212888723513e-42
NOP9,0.637574167862051,4.56879497017565,265.369565101725,1.5998793883902e-44,1.63075706058613e-41
RASSF1,-0.776390731345005,5.52956914650576,263.832845103645,2.46932917402474e-44,2.39713069246039e-41
RP11-285F7.2,-0.970384601273676,2.21111510362395,263.271293719479,2.89453380935285e-44,2.66889651194303e-41
ASPA,-1.45638626255071,4.23112601622375,263.131809403183,3.01111644141517e-44,2.66889651194303e-41
HOMEZ,0.814176528806066,3.78466934461601,262.000571774654,4.14911583826081e-44,3.52432814494937e-41
PPP1R14BP3,-1.70953410617245,-0.776755040959627,261.548221691443,4.71740017254797e-44,3.84675679670252e-41
MMP17,-1.56482449583089,3.15138654291566,260.95575440316,5.58189554734886e-44,4.37663548570207e-41
MRC2,-1.41635053382089,6.76248985354808,258.841049013929,1.01910126573016e-43,7.69459200117597e-41
KBTBD4,0.854135443023775,2.51149427771472,257.020565296851,1.71405759461727e-43,1.2479563615667e-40
POLR2B,0.628849937990001,6.28193870421139,256.544550460473,1.96419005172489e-43,1.38075787567116e-40
KIF1BP,0.64932538432047,4.83804566628426,256.122023169193,2.21683903275173e-43,1.50641601738923e-40
STAT4,-1.36736074848149,1.93239915011992,253.652745345272,4.50398067409917e-43,2.86943684182282e-40
SPRY1,-1.38519398065182,6.96658206490018,253.626337407922,4.53832877198132e-43,2.86943684182282e-40
MATN2,-1.43310023097374,6.91828711258633,253.54564562014,4.64492376043133e-43,2.86943684182282e-40
SCN4B,-1.61613333928187,4.8118830863179,253.338764299705,4.92986730247557e-43,2.9558904361255e-40
PRMT5,0.740255719452894,4.77751723848395,252.669874730712,5.97719280114004e-43,3.48145864125831e-40
