,AdiposeSubcutaneous,AdiposeVisceral(Omentum),AdrenalGland,ArteryAorta,ArteryCoronary,ArteryTibial,BreastMammaryTissue,CellsCulturedfibroblasts,ColonSigmoid,ColonTransverse,EsophagusGastroesophagealJunction,EsophagusMucosa,EsophagusMuscularis,HeartAtrialAppendage,HeartLeftVentricle,Liver,Lung,MuscleSkeletal,NerveTibial,Prostate,SkinNotSunExposed(Suprapubic),SkinSunExposed(Lowerleg),Testis,Thyroid,WholeBlood
ALOX5AP,0.537829870880746,1.09368508355777,1.02130857345423,1.58838958699471,1.28642173641831,0.672969309928885,0.916125415958226,0.628138826121729,0.931735220230354,0.401132037609704,1.17876745390189,1.03876002756178,1.3007333184997,1.24601412417813,0.62767072465674,0.474403363066522,0.441665489137046,0.413916416366622,0.904671603830704,1.03093684240677,0.473123603835161,0.426658218601741,0.30936701868882,0.558884965532033,1.30449199339885
AP3B1,0.0723090711137108,0.226561559722503,0.750471112443576,0.361552875904452,0.39872758307016,0.169745137958559,0.150661391647678,-0.148261345794492,0.40712432977467,0.524914544231319,0.450407366493868,0.596794116926694,0.60228581681807,0.318412578000328,0.544475347856768,0.614966360892977,0.41880919404435,0.352075827849081,0.176453664117837,0.308103115593077,-0.150707031840727,-0.0960845311691591,0.250988773136091,0.289675160583098,0.670707905121157
ASPRV1,-0.233086966599774,-0.178695578427032,-0.481896790831056,-0.171498870963341,-0.344205848967136,-0.190185465527704,-0.180989139589084,0.702025734807149,-0.616879443611584,-0.592982512913915,-0.544418884267737,-0.317081962838125,-0.543154238785037,-0.393463957381935,-0.864487435460344,-0.649920657191584,-0.23513724171787,-0.166776922065609,-0.185830500257852,-0.552666507989938,0.653896664664653,0.615585880374388,-0.0898707216581822,-0.119926409758582,1.83055915929868
ATP1B2,-0.949840392282452,-1.15654908883587,-0.482501774656172,-0.50859842742125,-0.824575133618168,-0.536349805428236,-1.09132429855073,-1.13097495357456,-0.899375911715743,-1.40630324619154,-0.81108310160192,-1.03120557105386,-1.0411781216944,-1.07054792706776,-1.54604761994735,-0.588108422151592,-1.09880422814008,-0.600586074990738,-0.75260329841964,-0.933777864467557,-0.410592029420787,-0.462482044206199,0.24745938780456,-0.870890914372813,-1.45528441858972
ATP6V1B2,0.358200283658373,0.552304484613892,0.532829832971938,0.353539325133946,0.378150892270215,0.208372468721958,0.522840840948661,0.154086178677996,0.338805142040882,0.366629892841549,0.432811979320686,0.163865802196509,0.517175697314304,0.436675091963437,0.498953571072566,0.295656135940546,-0.0925356358328575,0.161136216381398,0.252831150010461,0.389457794998476,0.276210547085733,0.168486061281162,0.0580608087723225,0.412890964180656,1.1525636439694
CCNDBP1,0.261322406243807,0.148326871723224,0.479306553104252,0.0850723604078303,0.280832276404518,0.140917476083722,0.30811729171989,-0.116105809873814,0.337885996129707,0.372029568251191,0.247056936811104,0.239457125584162,0.311103809464972,0.145630144916697,0.429353087094208,0.494691545836426,0.35430243660426,0.118878878791457,0.199113803495291,0.216924521600795,0.181028103051598,0.294495408152207,0.225650537484306,0.091343756665753,1.24772572664626
CHMP4BP1,-0.781020261518841,-1.45659017077085,-3.31913325359051,-2.26674620470489,-2.5317656161205,-0.985394477074074,-1.3392052426907,0.495548136985362,-1.18974028055934,-0.908954333289649,-2.29439801411264,-1.92026319929487,-2.18344600926794,-2.04632199553045,-1.72657227436752,-1.44633000125365,-1.44114220940065,-0.315865434295645,-0.525441624868706,-0.9419691573908,-0.782056410377441,-0.638371746050924,-0.171999154036035,-1.09573052725133,-1.79452842153648
CLCN7,0.265630958498652,0.369582931737443,0.346881652276014,0.351368038591646,0.197345820387408,0.247401620036843,0.323195864999723,0.169493000745787,0.284376239634689,0.127421640293248,0.30067164464799,0.193235641252334,0.245504275073883,0.239865731915814,0.319584839179639,0.521390679050072,0.406060249604168,0.583041926609239,0.222182539820001,0.218069638156941,0.360554985928665,0.150085830448435,0.104856203476581,0.185179201992065,-0.482282409437691
DIEXF,0.234371291375534,0.161926221854796,0.575908170982943,0.453206523711406,0.446638921021024,0.308417946521422,0.261988508493152,0.271807735805737,0.325429814354936,0.371898364644462,0.470491028189117,0.47618000716883,0.576677682043873,0.294202444856018,0.278590420599162,0.754322431371749,0.972541053979365,0.444718277110451,0.175795816128267,0.44573882775734,0.107538453947048,0.119203750869366,0.32953086866179,0.296194701678665,0.160819434666017
EP300,0.150783016561894,0.210309803745648,0.339758327045239,0.404747577569434,0.454162360492106,0.274201227857882,0.113542346339964,0.213106021662317,0.599684508249764,0.335284080706542,0.574246035729826,0.397669764121013,0.631441261812572,0.410902471280848,0.296381040226529,0.132824774109374,0.28523573357809,0.375306645823292,0.0503790276692361,0.343211338573875,0.075681906587574,0.0710652587187566,0.206354397177865,0.0804180762989746,0.473897183421367
ETFA,0.393800686250393,0.327912228989769,0.630353273828944,0.129732837611487,0.270584351185211,0.123260007000083,0.486846961626274,-0.170438717295519,0.351073336188153,0.681421064720187,0.41180427081541,0.26598882310712,0.432021501038755,0.322584502040923,0.932093829349123,0.358161503457181,0.371934256267051,-0.345718139039376,0.263974881625282,0.130076604249033,-0.124636549112423,-0.0814002500470214,0.216749282613535,0.17279169245547,0.177000719741947
GANAB,0.194065841105299,0.289565662229651,0.273464987728799,0.163826270508882,0.252330093727782,0.070385869102627,0.242130729894893,-0.114819749085569,0.237764532278868,0.33654054738341,0.254450058407127,0.194451275450453,0.289971819332258,0.0939225525882755,0.161034075731202,0.466979770022979,0.255901333987856,0.373028382152956,0.152413872579519,0.110840475252166,0.0870980823779057,0.0861884108415177,0.288211469826044,0.138785666467734,-0.490803405207781
GCC1,0.271195249704958,0.39063040258817,0.41316549167765,0.782701569773292,0.849827460606492,0.297971121477174,0.234458999282395,0.167592754212593,0.617805793646548,0.632907675909888,0.677056939043059,0.450683174756311,0.689796279763272,0.602107572907562,0.269835131543823,0.222201248713333,0.488524818171148,0.82205732404788,0.136983814012194,0.195721623261583,0.210195576013959,0.0921641657526437,0.0436857001664969,0.36172828825734,0.765982261093751
GSPT2,0.226902731019629,0.32685114128404,1.01432326528084,1.10382198818507,1.09212986156415,0.205807782911699,0.426177233026937,0.176080984266313,0.689966941072773,0.456766350024238,0.918714332100889,0.674770921941947,0.922261280481403,0.986197222096809,0.63282366487208,0.16391426202188,1.12550747455499,-0.321271927285978,0.0909329258691287,0.21340621583673,0.461560023969736,0.167023103610862,0.129435792861001,0.475572189988151,0.227213375580938
