,AdiposeSubcutaneous,AdiposeVisceral(Omentum),AdrenalGland,ArteryAorta,ArteryCoronary,ArteryTibial,BreastMammaryTissue,CellsCulturedfibroblasts,ColonSigmoid,ColonTransverse,EsophagusGastroesophagealJunction,EsophagusMucosa,EsophagusMuscularis,HeartAtrialAppendage,HeartLeftVentricle,Liver,Lung,MuscleSkeletal,NerveTibial,Prostate,SkinNotSunExposed(Suprapubic),SkinSunExposed(Lowerleg),Testis,Thyroid,WholeBlood
AAR2,0.218658570044618,0.507551462641879,FALSE,0.532485025536464,0.649068535455161,0.232838947805135,0.284218782199356,0.163810753715376,0.330934812609472,0.244025325531254,0.63427090892505,0.332237910837827,0.582601088996074,0.402715900549637,0.237967510386771,0.260606101632717,0.778635821979071,0.456569768085059,0.235130139891707,0.321405429634056,0.240428472279044,0.113700082169164,0.119286169007838,0.427645724985641,0.700916452941899
ABAT,0.668699924347326,0.693832891116279,FALSE,0.586052642676199,0.812233391840679,0.948854320058421,0.224762983862565,FALSE,0.339588961087309,0.606320443034466,0.981411368929893,0.211992605697204,0.929052562419035,0.810922868464206,1.18217957309152,FALSE,0.645167296308244,0.272152376095297,0.592735179932595,-0.293236640527379,0.309528380938163,0.326683979582253,0.354696385318805,-0.330000814127389,0.931655239373927
ABCB4,-1.21764890912726,-0.606615144979904,-0.318594229380816,-0.568132693783513,-0.989265629708275,-0.7137875614863,-0.952599693320813,0.628691551822467,-1.33838221372417,-1.2159480998904,-1.09309502400071,-0.719603564134753,-1.27969676832154,FALSE,0.224871235193045,FALSE,-0.422784274139822,-2.04441557393466,-0.848960816744349,-0.745377943408645,-0.744885300430791,-0.877778767954382,FALSE,-0.762582240033754,-0.837117837527003
ABCC4,0.218753487096883,0.250418980997347,0.312508762825576,0.321992529234188,0.256310991575793,0.359533639603893,0.201050906322765,FALSE,1.3739890345813,0.408800171713515,0.503137262633718,0.173761941756993,0.81200431307359,-0.280212544614417,-0.203191670851165,0.535774201716878,0.381334191367801,0.66523269114933,0.308276152454491,-0.434188988950871,-0.222370912332983,FALSE,0.452047438661974,-0.180034866200162,FALSE
ABCD3,FALSE,0.111224510130683,0.368646899853508,0.278169664690013,0.245076889788357,FALSE,FALSE,-0.13141672788723,0.188482512909608,0.628442435280944,0.186294731456764,0.176525341328332,0.181711859045855,0.286370713812541,0.775258015646575,-0.175753258494235,0.512069165799773,0.245819833680987,0.156812195494633,0.270341714079148,-0.0755385811718755,-0.106763242071883,0.207047268849265,0.266502254405542,0.576856241291925
ABCF3,0.225849933573228,0.205219015768773,-0.242617405902856,0.236806987143369,0.186249521386862,0.285015042981836,0.240432110216696,FALSE,0.0822191379314583,0.288043163717531,0.0827798490972713,0.115595612165331,FALSE,0.250007355004685,0.377216497701554,0.132896443064729,0.361447155616204,0.0900400658536118,0.216348365633972,FALSE,0.0584826593984395,0.0611939114645336,0.126166198005331,0.176382035116185,-0.290831556720821
ABHD5,1.30086944554299,0.855838586337334,0.965626627136229,0.420697567287045,0.713283806026933,0.404065228563285,1.1590399922696,FALSE,0.552142437082395,0.675260894108869,0.887591745599082,0.419919435717854,1.21905197046966,0.405126057940612,1.00886192116515,0.288184585752132,-0.189110436913101,0.517264028323982,0.494004578469083,0.534882983998835,0.418651685413648,0.467513670566408,0.108861999763444,0.187594351019315,0.354919471785364
ABI2,-0.259580286983353,-0.36444994128747,-0.18307707191054,-0.311240072114907,-0.331703581612562,-0.139438964367106,-0.279880549808109,FALSE,-0.13327599712651,-0.53481711087688,-0.110053176517247,-0.305341648538955,-0.0700218621664364,FALSE,0.194771869768765,-0.200388347971489,-0.59593550545601,-0.252358790737946,-0.180523277847251,FALSE,-0.0801034614191473,-0.0932167208318377,0.0724547412162634,-0.0617064063261813,-1.14560282498249
AC004985.12,-0.208011633128886,-0.583875564032741,-0.51500185507425,-0.464509055146552,-0.537545406312842,-0.186486377716545,-0.318663556686127,FALSE,-0.399533706046465,-0.468713204656907,-0.403693462018852,-0.300249887950968,-0.455882198219437,-0.530070948962849,-0.628088125179902,-0.855501189559643,-0.325824843895519,-0.110341173071959,-0.116391336577041,-0.445492863780872,-0.203315097759766,FALSE,FALSE,-0.380184180171411,-0.376655717224732
AC007038.7,-0.158851197608946,-0.323255299871296,-0.745264563448881,-0.598275572787051,-0.699850647352177,-0.136215765630613,-0.196351135844792,FALSE,-0.258519282469947,-0.30284458935918,-0.306833121941336,-0.200429183797914,-0.52779928894831,-0.312842267717006,-0.440755866715844,-0.552393058058967,FALSE,0.301001067105177,-0.0884598734248911,FALSE,-0.322749790491899,-0.130320061313469,-0.103376375027332,0.119639563545762,-0.471270587515365
