,AdiposeSubcutaneous,AdiposeVisceral(Omentum),AdrenalGland,ArteryAorta,ArteryCoronary,ArteryTibial,BreastMammaryTissue,CellsCulturedfibroblasts,ColonSigmoid,ColonTransverse,EsophagusGastroesophagealJunction,EsophagusMucosa,EsophagusMuscularis,HeartAtrialAppendage,HeartLeftVentricle,Liver,Lung,MuscleSkeletal,NerveTibial,Prostate,SkinNotSunExposed(Suprapubic),SkinSunExposed(Lowerleg),Testis,Thyroid,WholeBlood
ARNTL,0.761510864240522,0.493179749235754,-0.275664882137609,0.416770400508722,0.632736785488837,0.558111025168822,0.792695576471297,FALSE,0.257910223743052,FALSE,0.419502124624258,0.302120959413016,0.530931592213954,FALSE,FALSE,FALSE,-0.344045809298731,1.03037319375086,0.506909890641041,0.430641565787948,0.269362928752664,0.400330341877006,0.175433425295342,FALSE,0.46970138172619
CIART,FALSE,-0.476824078910701,-0.712673385834133,-0.252137041636798,-0.606061114559034,FALSE,-0.646636709428788,FALSE,FALSE,-0.631259496471473,FALSE,-0.531209957429386,-0.451275373903805,FALSE,FALSE,-1.24368100092435,0.609989755414847,FALSE,FALSE,FALSE,FALSE,FALSE,-0.133296700976147,-0.700320597681122,-0.963733005149734
CLOCK,0.211159499471581,0.16983701645977,0.252637564979349,0.181243369762329,0.169385298559105,0.159699139477693,0.237219757556337,FALSE,0.186999811411529,FALSE,0.383612472433757,0.371071389193299,0.453873980718976,0.352628720738482,0.610728913959311,0.319090214254889,FALSE,0.564641016732198,0.0523447452004284,FALSE,-0.159348299929007,-0.115652095814199,0.127076316825505,0.319449637718637,0.165462786253037
CRY1,FALSE,FALSE,-0.409004643559285,-0.240180783032641,-0.351939170253569,-0.189643070777801,-0.223686073989458,FALSE,FALSE,FALSE,FALSE,-0.146159935396674,FALSE,-0.158568581477478,FALSE,FALSE,-1.33227579977448,0.410285238755567,0.16312877687427,0.260361509705643,FALSE,-0.155787587302693,0.115876269102718,FALSE,-1.32473362412442
CRY2,-0.154895325712812,FALSE,-1.24728385261536,-0.637146231459035,-0.498523931444217,-0.181480471728057,-0.143947174525269,FALSE,-0.228788919446118,-0.442398766173225,-0.376640122612598,-0.792322171962886,-0.468874331066509,-0.267450824576938,-0.150559191437138,-0.61587514410972,-0.330624071981976,-0.707403897815639,FALSE,-0.165298012324627,-0.181988020514088,-0.265634581377569,-0.0504816335857909,-0.299856233420069,-0.673130068639705
DBP,-1.04046502945523,-1.48302959328033,FALSE,-1.29033642483601,-1.40025437952347,-1.16093380777785,-1.32045713522183,FALSE,-0.766393003727153,-1.23030833243593,-1.33611869388502,-1.2246549782568,-1.61548862965312,-1.41142152742626,-1.30796403310031,-1.90407469342588,FALSE,-1.67100988417138,-1.0289898882126,-1.37794626048074,-0.932555089941496,-0.688636776315158,FALSE,-0.901503911447874,-0.793644031867922
NPAS2,0.272216947063115,0.241697495075026,-0.800788808060195,0.472587397253755,0.627930318220775,0.686935229776106,FALSE,FALSE,FALSE,0.832623559993539,0.295476268607104,0.178128088032711,0.49794764440671,0.4046831354663,0.758045829343098,FALSE,0.388271027283335,1.32103647926708,0.230931582551683,0.22441825284738,0.272285095657246,0.371647521557741,FALSE,0.26592148193308,-0.630146123454591
NR1D1,-0.235370996642116,-1.05150409240919,FALSE,-0.803815318868961,-0.922368766176242,FALSE,-0.658492386540597,0.248217018432543,-0.530313282948452,-1.31768270168793,-1.09882155091111,-1.33285287777186,-0.930552578559835,-1.09303282098446,-0.619074630887406,-0.847155880285003,-0.635716615394995,FALSE,FALSE,-0.622980624353575,-0.622510467782644,-0.260230534214545,FALSE,-0.953015235618026,-1.56303011386572
NR1D2,-0.226940824923964,-0.782068809881992,FALSE,FALSE,-0.320575863219801,FALSE,-0.467196372935558,0.155205197373315,FALSE,-0.604113499458256,-0.404387918674879,-0.224817346395865,-0.262804221822496,FALSE,FALSE,-0.608083120636188,FALSE,FALSE,-0.4461245908919,-0.266289438402677,-0.144308634680954,FALSE,0.203301459038715,-0.245053100186821,-1.3061225573421
PER1,0.172769102491835,FALSE,-1.56464666925414,-0.546536592741887,-0.352564546593756,FALSE,-0.241901216028527,0.195113034388192,FALSE,-0.343713645581345,-0.339442216019712,-0.751390715955615,-0.479791708619175,-0.491834479777031,-0.225652934077349,FALSE,FALSE,0.21897751561368,0.179622008632157,0.353429971881196,FALSE,0.248595811830778,0.113329940850427,-0.294394522334919,-1.39325355467001
PER2,-0.516133624646851,FALSE,-0.739264405868087,-0.760663573754061,-1.02868177287341,-0.575320414871956,-0.748676549223688,0.322485861424359,-0.488018891412927,FALSE,-0.530362391734783,-0.420829334940664,-0.775179450854754,-0.61492698314744,-0.828380518930265,-0.581800999331059,-0.850068446688344,-0.290002141559628,-0.333520659676297,FALSE,0.231919652400495,-0.209442101216407,FALSE,-0.50446823390625,-0.591286068582641
PER3,-0.660851160469709,-1.09213602203344,FALSE,-0.718779106288437,-1.09823383619482,-0.592278778862271,-0.862621559895865,0.357353197973667,-0.43043667581486,-0.977360928330444,-0.538065157608319,-0.649177065802565,-0.595584679496194,-0.490109502887854,-0.640331068430429,-1.07406292550101,-0.232621365371598,-0.747212280574819,-0.582031787803856,-0.565400844147283,-0.590273269566353,-0.66406769932573,0.141752527263402,-0.659471371041528,-0.940642303968153
TEF,FALSE,-0.44053834655672,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.338701601548871,FALSE,-0.392834205123936,-0.221000174784026,-0.163819450427147,-0.237271502509037,FALSE,0.52339121118484,-0.229113478878853,-0.10417824308748,-0.437270290860104,FALSE,-0.159764953609811,0.105232503045593,-0.311391464403593,FALSE
