"x"
"1","AAR2"
"2","ABAT"
"3","ABCB4"
"4","ABCC4"
"5","ABCF3"
"6","ABHD5"
"7","ABI2"
"8","AC004985.12"
"9","AC007038.7"
"10","AC010226.4"
"11","AC010976.2"
"12","AC074141.3"
"13","AC074289.1"
"14","AC093627.10"
"15","AC116366.6"
"16","ACAA2"
"17","ACACA"
"18","ACE"
"19","ACO1"
"20","ACO2"
"21","ACOT2"
"22","ACOX1"
"23","ACSS2"
"24","ACTL10"
"25","ACVR1C"
"26","ADAM15"
"27","ADAM23"
"28","ADAMTS15"
"29","ADCY3"
"30","ADD3"
"31","ADGRB3"
"32","ADGRL3"
"33","ADH5"
"34","ADI1"
"35","ADORA3"
"36","ADPRHL1"
"37","ADSL"
"38","AFAP1L2"
"39","AGAP9"
"40","AGFG1"
"41","AGFG2"
"42","AGGF1"
"43","AGK"
"44","AHCYL1"
"45","AHSA2"
"46","AIFM2"
"47","AIMP2"
"48","AKIRIN1"
"49","AKR1B10"
"50","AKT1S1"
"51","AL133243.1"
"52","AL133243.2"
"53","ALAS1"
"54","ALDH1L1"
"55","ALDH6A1"
"56","ALG1"
"57","ALMS1-IT1"
"58","ALOX15B"
"59","ALOX5AP"
"60","AMT"
"61","AMZ2P1"
"62","ANKRD11"
"63","ANKRD23"
"64","ANKRD36"
"65","ANKRD40"
"66","ANPEP"
"67","ANTXR2"
"68","AOX1"
"69","AP001258.4"
"70","AP1G1"
"71","AP2A1"
"72","AP3B1"
"73","AP3D1"
"74","AP3M1"
"75","AP4E1"
"76","AP5B1"
"77","APEH"
"78","APEX1"
"79","API5"
"80","APLN"
"81","APMAP"
"82","APPL2"
"83","ARHGAP15"
"84","ARHGAP32"
"85","ARHGAP33"
"86","ARHGAP44"
"87","ARHGEF11"
"88","ARID1A"
"89","ARIH2"
"90","ARMCX4"
"91","ASCC1"
"92","ASH1L"
"93","ASNA1"
"94","ASPA"
"95","ASPN"
"96","ASPRV1"
"97","ATG2A"
"98","ATG3"
"99","ATIC"
"100","ATMIN"
"101","ATP1A1"
"102","ATP1B2"
"103","ATP2A2"
"104","ATP2B1-AS1"
"105","ATP5A1"
"106","ATP5G3"
"107","ATP5SL"
"108","ATP6AP1L"
"109","ATP6V0E1"
"110","ATP6V1B2"
"111","ATP6V1C1"
"112","ATP6V1E1"
"113","ATP6V1G2"
"114","ATXN1L"
"115","ATXN7L3"
"116","AZI2"
"117","AZIN1-AS1"
"118","AZIN2"
"119","B2M"
"120","BAG5"
"121","BAZ1B"
"122","BCAM"
"123","BCAP31"
"124","BCKDK"
"125","BCL2L13"
